theosophical	神智学
educationese	教育界行话
distrustful	不信任的
distrustful	不信任
distrustful	怀疑的
distrustful	怀疑
distrustful	可疑的
distrustful	可疑
barnsley	巴恩斯利
waterwheel	水车
waterwheel	吊水机
vitrification	玻璃化
vitrification	透明化
happily	幸福地
happily	幸福
happily	愉快地
happily	愉快
happily	恰当地
happily	恰当
happily	幸亏
parasail	帆伞
parasail	滑翔伞
parasail	参加帆伞运动
parasail	驾帆伞滑翔
towrope	拖曳缆
towrope	船缆
amateurish	业余的
amateurish	业余
amateurish	非职业的
amateurish	非职业
amateurish	不熟练的
amateurish	不熟练
crwth	克鲁斯琴
platycephalic	扁头的
platycephalic	扁头
hatcher	孵卵器
hatcher	孵卵的动物
hatcher	筹划者
hatcher	策划者
alimentation	营养
petulance	闹气
petulance	性急
attachment	附件
attachment	附加装置
attachment	配属
extempore	即席的
extempore	即席
extempore	当场的
extempore	当场
extempore	即席
extempore	当场
extempore	即席之作
dyeworks	染厂
plage	海滨
juba	朱巴舞
cancerroot	列当属之数种无叶寄生植物
drama	戏剧
drama	戏剧艺术
amphiphilic	两性分子的
amphiphilic	两性分子
lignin	木质素
punctuality	准时
indigestion	消化不良
cartful	一车
dryasdust	研究枯燥乏味问题的学者
dryasdust	无趣而好卖弄学问的演讲人或作家
dryasdust	枯燥无味的
dryasdust	枯燥无味
dryasdust	趣味索然的
dryasdust	趣味索然
spreadover	工作时间可依需要而伸缩的制度
sergeantship	军士之地位
sergeantship	职权或阶级
reversioner	复归权者
reversioner	继承权者
repartition	重新分配
repartition	重新分配
brushup	擦
brushup	打扮
bulgar	=Bulgarian
almsgiver	施舍者
curving	弯曲的
curving	弯曲
crinkly	起皱的
crinkly	起皱
crinkly	绉褶多的
crinkly	绉褶多
crinkly	卷缩的
crinkly	卷缩
decapitate	斩首
caravaggioesque	卡拉瓦乔的
caravaggioesque	卡拉瓦乔
caravaggioesque	卡拉瓦乔作品的
caravaggioesque	卡拉瓦乔作品
longshore	沿岸的
longshore	沿岸
longshore	在海岸工作的
longshore	在海岸工作
tychonic	第谷体系的
tychonic	第谷体系
passing	经过
passing	通过
passing	消逝
passing	经过的
passing	经过
passing	短暂的
passing	短暂
passing	偶然的
passing	偶然
passing	及格的
passing	及格
roughstuff	底漆
coaxingly	以巧言诱哄
coaxingly	以甜言哄骗
brevity	简短
unmilitary	不符合军事规程的
unmilitary	不符合军事规程
unmilitary	非军事的
unmilitary	非军事
unmilitary	不适合军人身份的
unmilitary	不适合军人身份
equivalency	相等
equivalency	等价
convene	召集
convene	集合
diphoneme	双音素
diphoneme	双音位
tailorbird	缝叶莺
ou	Organization
ou	Unit
ou	组织单元
menhir	屹立之史前时期纪念巨碑
menhir	竖石纪念碑
ventral	腹的
ventral	腹
ventral	腹部的
ventral	腹部
ventral	腹侧的
ventral	腹侧
ventral	腹鳍
descent	降下
descent	降落
descent	世系
descent	血统
descent	侵袭
derna	德尔纳
lamehter	哀悼者
guerilla	游击队
guerilla	非正规军队
guerilla	游击的
guerilla	游击
pollinium	花粉块
intoed	足趾内弯的
intoed	足趾内弯
arachnid	属于蜘蛛类的节肢动物
laid	lay的过去式和过去分词
citied	都市的
citied	都市
citied	似都市的
citied	似都市
citied	其上建有都市的
citied	其上建有都市
eluvial	残积层的
eluvial	残积层
regeneration	再生
regeneration	重建
aloe	芦荟
aloe	芦荟油
roup	家禽流感
roup	拍卖
roup	拍卖
bacteriophobia	细菌恐怖
meinie	=meiny
weeder	除草者
sciolist	一知半解的人
sciolist	假充内行的人
tetched	=teched
reinter	改葬
nimbly	敏捷地
nimbly	敏捷
nimbly	机敏地
nimbly	机敏
voucher	证人
voucher	保证人
voucher	证明者
voucher	凭证
voucher	凭单
voucher	优惠购货卷
tempter	诱惑者
tempter	诱惑物
tempter	撒旦
psocid	Ⅰ
psocid	啮虫科昆虫
psocid	啮虫
windchill	=chill
windchill	factor
teaboard	茶盘
vowelless	无元音的
vowelless	无元音
skycap	飞机场行李搬运工人
archway	拱门
archway	拱道
mego	mine
mego	eyes
mego	glaze
mego	over
mego	这事太没劲了
ratan	藤
ratan	藤茎
midinette	女店员
mockingly	愚弄地
mockingly	愚弄
mockingly	取笑地
mockingly	取笑
unpopularity	不流行
adorably	崇拜
gyron	三角形副章
barabbas	巴拉巴
systolic	心脏收缩的
systolic	心脏收缩
sashimi	生鱼片
unliterate	无文化修养的
unliterate	无文化修养
unliterate	对文学不感兴趣的
unliterate	对文学不感兴趣
unliterate	不爱读书的
unliterate	不爱读书
crapulent	饮过量的
crapulent	饮过量
crapulent	暴饮暴食的
crapulent	暴饮暴食
confidant	心腹朋友
confidant	知己
slovenly	懒散的
slovenly	懒散
slovenly	不修边幅的
slovenly	不修边幅
chlorin	氯
ccm	加勒比共同市场
craftswoman	女工匠
craftswoman	女手艺人
craftswoman	女工艺师
jailbait	祸水妞
jailbait	未成年少女
jailbait	导致犯罪入狱的诱因
aterian	阿梯尔文化的
aterian	阿梯尔文化
sally	突围
lurid	苍白的
lurid	苍白
lurid	可怕的
lurid	可怕
lurid	血红的
lurid	血红
lurid	耸人听闻的
lurid	耸人听闻
threepenny	三便士的
threepenny	三便士
threepenny	值三便士的
threepenny	值三便士
threepenny	便宜的
threepenny	便宜
formative	格式化的
formative	格式化
feline	猫的
feline	猫
feline	猫科的
feline	猫科
feline	猫一样的
feline	猫一样
feline	猫科的动物
reservoir	水库
reservoir	蓄水池
tart	酸的
tart	酸
tart	辛辣的
tart	辛辣
tart	尖酸的
tart	尖酸
tart	刻薄的
tart	刻薄
tart	打扮
tart	果馅饼
tart	小烘饼
tart	妓女
performative	述行语
performative	述行成分
guayule	银胶菊
guayule	银菊胶
reassume	再假定
keel	龙骨
keel	平底船
keel	装以龙骨
keel	使倾覆
keel	倾覆
levorotary	=laevorotatory
aposelene	=apolune
historicize	使历史化
historicize	使具有历史真实性
historicize	把……作为史实记录
historicize	使用史料
gangrel	流浪汉
gangrel	瘦长的人
tshi	=Twi
limelight	引人注目的中心
intercept	中途阻止
intercept	截取
echinate	有刺的
echinate	有刺
echinate	有棘皮的
echinate	有棘皮
arboreous	树木的
arboreous	树木
arboreous	树木状的
arboreous	树木状
arboreous	树木繁茂的
arboreous	树木繁茂
insuperably	不能取胜地
insuperably	不能取胜
insuperably	不能超越地
insuperably	不能超越
insuperably	不能制胜地
insuperably	不能制胜
insuperably	无法克服地
insuperably	无法克服
irreverent	不尊敬的
irreverent	不尊敬
electrosensitive	I`lektrEJ9ssItIv/
electrosensitive	电敏的//ensI`tIvEtI/
electrosensitive	电感知能力
electrosensitive	电敏性
ciphertext	密码
ciphertext	暗记文
semeiotic	=semiotic
cottony	象棉样的
cottony	象棉样
cottony	起毛的
cottony	起毛
cottony	胎毛似的
cottony	胎毛似
litterbug	在街道或公共场所乱丢垃圾的人
windowman	在窗口负责售票
windowman	的人员
holstein	荷兰的一种乳牛
holstein	黑白花牛
ridgeboard	=ridgepole
peggy	Margaret
peggy	的昵称
lectuer	讲师
lectuer	讲演人
lectuer	训诫者
minicrystal	微晶体
quartered	四分的
quartered	四分
quartered	提供住所的
quartered	提供住所
mesothermal	中等温度的
mesothermal	中等温度
mesothermal	中温的
mesothermal	中温
digitoxose	洋地黄毒素糖
flotsan	=flotsam
lodging	寄宿处
lodging	寄宿
lodging	出租的房间、住房
shrapnel	榴散弹
foveate	有凹的
foveate	有凹
boyfriend	男朋友
boyfriend	情郎
boyfriend	情人
drawtube	镜筒
drawtube	伸缩管
innermost	最里面的
innermost	最里面
innermost	内心的
innermost	内心
innermost	秘密的
innermost	秘密
gnatcatcher	食虫鸣禽
bedesman	救济院之受施者
bedesman	乞丐
crematorium	火葬场
aster	紫苑
unbelted	无带的
unbelted	无带
unbelted	无腰带的
unbelted	无腰带
eleventh	第十一
poised	泰然自若的
poised	泰然自若
poised	平衡的
poised	平衡
prosecutive	起诉的
prosecutive	起诉
prosecutive	检举的
prosecutive	检举
microprogram	微程序
tahina	芝麻酱
frightening	令人恐惧的
frightening	令人恐惧
frightening	引起突然惊恐的
frightening	引起突然惊恐
phenformin	苯乙双胍
phenformin	降糖灵
rehospitalize	再进医院
rehospitalize	再入院治疗
mushroom	蘑菇
mushroom	暴发户
mushroom	迅速生长
mushroom	迅速增加
mushroom	采蘑菇
mushroom	蘑菇形的
mushroom	蘑菇形
mushroom	迅速生长的
mushroom	迅速生长
fella	伙伴
fella	伙计
fella	小伙子
hoise	=hoist
metalogue	幕间演说
osi	Open
osi	System
osi	Interconnect
osi	Reference
osi	Model
osi	开放式系统互联参考模型
incognizable	难觉察的
incognizable	难觉察
incognizable	不可知的
incognizable	不可知
bazoom	乳房
bazoom	奶子
gorgeous	华丽的
gorgeous	华丽
gorgeous	灿烂的
gorgeous	灿烂
coulombic	库仑的
coulombic	库仑
coulombic	库仑定律的
coulombic	库仑定律
fellable	适于砍倒的
fellable	适于砍倒
fellable	可击倒的
fellable	可击倒
cytophotometer	细胞光度计
ngf	nerve
ngf	growth
ngf	factor
much	许多的
much	许多
much	大量的
much	大量
much	非常
much	很
much	……多
much	更加
much	非常
much	得多
much	多达
much	多得多
much	许多
much	大量
much	许多
leeringly	以斜眼看
chastisable	应惩罚的
chastisable	应惩罚
chastisable	该惩戒的
chastisable	该惩戒
arteriosclerotic	动脉硬化的
arteriosclerotic	动脉硬化
exam	考试
exam	测验
sightproof	视力透不过的
sightproof	视力透不过
sightproof	无法透视的
sightproof	无法透视
wrestle	摔跤
wrestle	角力
wrestle	扭斗
wrestle	摔跤
wrestle	格斗
wrestle	斗争
wrestle	斟酌
wrestle	与摔跤
wrestle	使劲搬动
lily	百合
lily	百合花
lily	洁白的东西
lily	纯洁的人
lily	洁白的
lily	洁白
lily	纯洁的
lily	纯洁
lily	Lily
lily	莉莉
meddle	管闲事
vitim	维季姆河
frugality	节俭
frugality	俭省
miniascape	盆景
phonemicise	=phonemicize
irenology	和平学
unenjoying	不会享受的
unenjoying	不会享受
unenjoying	不懂欢乐的
unenjoying	不懂欢乐
unenjoying	令人悲哀的
unenjoying	令人悲哀
unenjoying	使人忧郁的
unenjoying	使人忧郁
interacinous	腺泡间的
interacinous	腺泡间
unescapable	逃不掉的
unescapable	逃不掉
unescapable	逃脱不了的
unescapable	逃脱不了
unescapable	不可避免的
unescapable	不可避免
shapely	样子好的
shapely	样子好
shapely	匀称的
shapely	匀称
shapely	形状美观的
shapely	形状美观
shapely	定形的
shapely	定形
shapely	有条理的
shapely	有条理
repugnance	不一致
ginshop	酒店
ginshop	酒馆
korea	韩国
korea	朝鲜
tuyere	鼓风口
interferometry	n
interferometry	干涉测量
semiliterate	半文盲
semiliterate	有初等文化者
smokehouse	熏制室
ophthalmometer	检眼计
ophthalmometer	屈光计
taste	品尝
taste	辨味
taste	有
taste	……味道
taste	领略
taste	体验
taste	感到
taste	味道
taste	味觉
saxophone	萨克斯管
legislature	立法机关
legislature	立法机构
splittism	分裂主义
haori	羽织
prosopyle	前幽孔
brannigan	争吵
brannigan	喧闹的舞会
johnston	约翰斯顿
pyrogallate	焦棓酸盐
subtitling	字幕
bipectinated	双栉形的
bipectinated	双栉形
enchanter	行妖术的人
enchanter	巫士
rigatoni	波纹贝壳状通心粉
granitization	花岗岩化
granitization	花岗岩化作用
priestliness	教士气派
underbreath	低语
underbreath	耳语
settlement	沉降
settlement	解决
settlement	结算
settlement	殖民
settlement	殖民地
settlement	殖民
historiography	编史
historiography	历史之编纂
fishfall	收锚柱滑车辘轳
colatitude	余纬度
ehv	extra
ehv	high
ehv	voltage极高压
ehv	超高压
jagt	单桅小帆船
ciderkin	淡苹果汁
disintegrative	使分裂的
disintegrative	使分裂
disintegrative	蔿y//
disintegrative	使分裂地贡览５
northwardly	向北方的
northwardly	向北方
northwardly	来自北方的
northwardly	来自北方
northwardly	向北方
cholecyst	胆囊
gauntlet	交叉射击
brilliant	灿烂的
brilliant	灿烂
brilliant	闪耀的
brilliant	闪耀
brilliant	有才气的
brilliant	有才气
projet	设计
projet	计划
projet	条约草案
calicut	卡利卡特(印度西南部港市科泽科德
receiving	接受
receiving	接受的
receiving	接受
diastrophism	地壳变动
diastrophism	地壳变形
catamenia	月经
colonist	殖民地居民
colonist	殖民者
shamal	夏马风
gyro	陀螺仪
gyro	回转仪
ethidium	溴乙非啶
ethidium	溴化二氨乙苯啡啶
othman	=Ottoman
dermatophytosis	脚气
dermatophytosis	脚癣
ectropium	外翻
ectropium	睑外翻
annotinous	已生长一年的
annotinous	已生长一年
rinderpest	牛瘟
rinderpest	牛疫
accessorial	附属的
accessorial	附属
accessorial	辅助的
accessorial	辅助
accessorial	增加的
accessorial	增加
accessorial	补充的
accessorial	补充
substitutive	代用的
substitutive	代用
athwart	横跨着
athwart	斜穿过
athwart	逆
athwart	相反
athwart	横过
athwart	反对
athwart	逆
balopticon	投射器
balopticon	投影器
educability	可教育性
educability	可陶冶性
prismatically	用棱镜分析
prismatically	成棱柱
innovation	改革
innovation	创新
trice	一刹那
venereology	性病学
unadvisedly	鲁莽地
unadvisedly	鲁莽
unadvisedly	欠思虑的
unadvisedly	欠思虑
capeador	斗牛士助手
decasualization	临时工的取消
unscholarly	没有学问的
unscholarly	没有学问
unscholarly	没有学识的
unscholarly	没有学识
unscholarly	没有学者风度的
unscholarly	没有学者风度
kellogg	凯洛格
obpyramidal	倒金字塔形的
obpyramidal	倒金字塔形
malty	麦芽的
malty	麦芽
malty	有麦芽的
malty	有麦芽
malty	喝醉的
malty	喝醉
thalamotomy	丘脑切开术
oxfam	Oxford
oxfam	Committee
oxfam	for
oxfam	Famine
oxfam	Relief
oxfam	牛津饥荒救济委员会
gop	Grand
gop	Old
gop	Party
sine	无
sine	正弦
electrolyze	电解
electrolyze	用电分解
onfall	攻击
onfall	袭击
fratching	争论
fratching	吵架
underdose	不足剂时
underdose	给……用药剂量不足
rojak	马来西亚色拉
erotic	性爱的
erotic	性爱
erotic	性欲的
erotic	性欲
erotic	色情的
erotic	色情
erotic	好色之徒
secret	秘密
secret	秘诀
secret	奥秘
secret	秘密的
secret	秘密
secret	隐秘的
secret	隐秘
secret	幽静的、
kiangsu	江苏
kiangsu	见Jiangsu
directive	指示
caffeinism	咖啡碱中毒
caffeinism	慢性咖啡中毒
cicatricle	叶痕
cicatricle	脱离痕
salicional	瑟利申纳尔音栓
tricoline	特里科林
hagiolatry	圣徒崇拜
tounament	比赛
anesthetist	麻醉师
pailful	满桶
pailful	一桶
collectivize	使之成为共同的
collectivize	使之成为共同
collectivize	集体化
collectivize	集团化
reformation	改革
reformation	革新
unesthetic	=unaesthetic
trichiasis	倒睫
trichiasis	倒睫症
orthographical	正字法的
orthographical	正字法
orthographical	拼字正确的
orthographical	拼字正确
vanquish	征服
vanquish	击败
vanquish	克服
terrel	泰雷尔
mascot	福神
mascot	吉祥的东西
springe	圈套
springe	设圈套
bunker	船上的煤仓
bunker	碉堡
bunker	掩体
bunker	燃料舱
streptonigrin	链黑菌素
punto	一刺
punto	弓箭步刺
headward	向头的
headward	向头
headward	朝头部的
headward	朝头部
headward	向头
preparatory	预备的
preparatory	预备
hour	小时
hour	钟头
hour	……点钟
hour	课时
hour	时间
cathouse	妓院
cis	Contact
cis	Image
cis	Scan
cis	接触式图像扫描
theoretic	理论上的
theoretic	理论上
theoretic	空谈的
theoretic	空谈
rectocele	脱肛
cryotron	低温管
hypocaust	坑式装置
hypocaust	热坑
rhythmist	有节奏感的人
rhythmist	诗人
rhythmist	研究韵律的人
domelight	穹顶灯
microsequencer	微序列器
teasingly	烦恼地
teasingly	烦恼
teasingly	受嘲弄地
teasingly	受嘲弄
venepuncture	=venipuncture
biometrician	生物统计学家
quixotry	唐吉诃德式性格
quixotry	不切实际的思想或性格
thucydides	修西得底斯
diplex	双重通信的
diplex	双重通信
diplex	双重的
diplex	双重
proximo	下月的
proximo	下月
ynquiry	询问
ynquiry	调查
baseness	卑鄙
baseness	下贱
stillbirth	死产
stillbirth	死婴
stillbirth	死后产下的婴孩
quinquefoil	五叶形的装饰
footmark	足迹
footmark	宇宙飞船的预定着陆点
sawyer	锯木匠
sawyer	漂流水中的树木
sawyer	显赫天牛
contortions	扭歪
contortions	弯曲
telling	有效的
telling	有效
telling	明显的
telling	明显
telling	生动的
telling	生动
somehow	不知何故
imbroglio	杂乱的一团
imbroglio	纠葛
imbroglio	纷扰
imbroglio	误解
shaw	杂木林
method	方法
insufficient	不足的
insufficient	不足
insufficient	不够的
insufficient	不够
insufficient	不足
preschool	未满学龄的
preschool	未满学龄
preschool	入学前的
preschool	入学前
preschool	幼儿园
waistbelt	=waistband
overground	地上的
overground	上
sclerocorneal	巩角膜的
sclerocorneal	巩角膜
empiristic	经验论的
empiristic	经验论
encircle	环绕
encircle	围绕
encircle	包围
encircle	绕……行一周
aeolus	风神
aeolus	埃俄罗斯
reproval	非难
reproval	指责
levirate	寡妇与亡夫兄弟的结婚
isolative	好孤立的
isolative	好孤立
isolative	成为孤立的
isolative	成为孤立
eisegesis	肆意诠释
eisegesis	牵强附会
municipalize	实行自治
municipalize	把……市辖
municipalize	划归市有
dyslogia	言语困难
dyslogia	难语症
gonopore	生殖孔
leukocytosis	白细胞增多
leukocytosis	白血球增多
taping	磁带录音
sinsyne	从那时起
sinsyne	此后
overman	工头
overman	师傅
overman	仲裁者
overman	使人员配置过多
lief	欣喜
lief	自愿
lief	乐意的
lief	乐意
lief	亲爱的
lief	亲爱
atraumatic	防止损伤的
atraumatic	防止损伤
atraumatic	减少不良影响的
atraumatic	减少不良影响
breeziness	微风的轻吹
breeziness	活泼
policymaking	制定政策
policymaking	决策
policymaking	制定政策的
policymaking	制定政策
policymaking	决策的
policymaking	决策
prorupt	隆起的
prorupt	隆起
prorupt	突出的
prorupt	突出
illustrator	插图画家
illustrator	图解者
illustrator	说明者
flamingo	火烈鸟
demagogy	煽动家的方法与行为
heuchera	矾根属植物
cancellate	罗眼状的
cancellate	罗眼状
cancellate	多孔的
cancellate	多孔
enjoin	吩咐
enjoin	命令
enjoin	嘱咐
enjoin	禁止
imitable	可模仿的
imitable	可模仿
operose	费力的
operose	费力
operose	困难的
operose	困难
operose	辛勤的
operose	辛勤
anastigmatic	去像散的
anastigmatic	去像散
froze	freeze
froze	的过去式
rationalistic	纯理论的
rationalistic	纯理论
rationalistic	理性主义的
rationalistic	理性主义
phytolite	植物化石
phytolite	植物岩
corrida	斗牛
lyophilic	亲液的
lyophilic	亲液
sickness	疾病
sickness	呕吐
benzal	苯亚甲基的
benzal	苯亚甲基
undernourished	营养不良的
undernourished	营养不良
undernourished	半饱状态的
undernourished	半饱状态
alienability	可让与性
alienability	可疏远性
impassive	冷漠的
impassive	冷漠
panpipe	牧羊神之笛
along	往前
along	向前
along	顺着
along	沿着
clinton	克林顿
moratory	延期偿付的
moratory	延期偿付
peaty	泥煤似的
peaty	泥煤似
peaty	多泥煤的
peaty	多泥煤
house	房子
house	住宅
house	库房
house	机构
house	家庭
house	家族
house	议院
house	剧场
house	给……房子住
house	收藏
house	覆盖
house	住
house	躲藏
muscovitic	=Muscovite
sabled	着丧服的
sabled	着丧服
sabled	黑色的
sabled	黑色
executer	实行
executer	实施
geothermometer	地温计
effraction	侵入
effraction	闯入
ucdos	希望汉字系统
auew	Amalgamated
auew	Union
auew	of
auew	Engineering
auew	Workers
auew	工程工人混合工会
misanthropist	厌恶人类者
misanthropist	厌世者
antipoverty	反贫穷的
antipoverty	反贫穷
antipoverty	反贫穷计划
biobibliography	关于作家生平及其著作简历
homoeopathist	顺势疗法医生
autocoid	=autacoid
bistate	两州的
bistate	两州
bistate	代表两州的
bistate	代表两州
graphiure	非洲睡鼠
asthenope	患弱视症的人
embrittle	使变脆
enjoyment	享乐
enjoyment	快乐
enjoyment	享受乐事
scrotocele	阴囊疝
coumaphos	香豆磷
coumaphos	蝇毒磷
encephaloma	脑瘤
impresa	箴言
impresa	箴言牌
impresa	题铭
bootblack	擦鞋童
caffein	咖啡因
caffein	茶精
ensign	旗
ensign	军舰旗
ensign	军旗
ensign	徽章
ensign	海军少尉
nonmaterial	非物质的
nonmaterial	非物质
nonmaterial	文化的
nonmaterial	文化
rhabdomancy	棍卜
rhabdomancy	棒卜术
beatster	=beatnik
opotherapy	液汁疗法
opotherapy	器官疗法
dermotropic	亲皮的
dermotropic	亲皮
dermotropic	向皮的
dermotropic	向皮
foodstuff	食品
foodstuff	粮食
replier	回答者
replier	答复者
gleed	烧红的煤
sinistrad	向左
psychic	精神的
psychic	精神
unrove	unreeve
unrove	的过去式和过去分词
unconsidering	不考虑的
unconsidering	不考虑
unconsidering	缺少考虑的
unconsidering	缺少考虑
unconsidering	不留心的
unconsidering	不留心
crewless	没有船员的
crewless	没有船员
polyphylesis	=polygenesis
playable	可演奏的
playable	可演奏
overspecialization	过于专门化
phreatophyte	地下水湿生植物
insectivization	沦为昆虫境地者
insectivization	被奴役者
assibilation	咝擦音化
assibilation	齿音化
syriam	沙廉
kestrel	一种鹰
licenser	认可证颁发者
lunker	同类中特别大的东西
cordially	诚恳地
cordially	诚恳
cordially	诚实地
cordially	诚实
cordially	诚挚地
cordially	诚挚
doxorubicin	=adriamycin
lacelike	花边状的
lacelike	花边状
lacelike	带子般的
lacelike	带子般
stimulin	鼓励
stimulin	刺激物
natrium	钠
mal	病
mal	疾病
mal	不适
karakule	卡拉库耳大尾绵羊
kalinin	加里宁(旧称特维尔
delimiter	定界符
delimiter	分隔符
conglobe	使成球状
conglobe	堆成圆珠
assoeted	分类的
assoeted	分类
assoeted	各色俱备的
assoeted	各色俱备
assoeted	什锦的
assoeted	什锦
travancore	特拉凡哥尔
contrast	使与……对比
contrast	使与……对照
contrast	和……形成对照
contrast	对比
contrast	对照
contrast	差异
pseudomorph	伪形
pseudomorph	假晶
pythagorean	毕达哥拉斯的
pythagorean	毕达哥拉斯
inspectorship	检查员的职务和地位
accommodative	=accommodating
inducing	产生诱导作用的
inducing	产生诱导作用
creditiste	魁北克社会信用党议员
saxonise	=Saxonize
yeomenry	自耕农
dybbuk	恶灵
dybbuk	附在活人身上的罪人死后的灵魂
semite	闪族人
semite	闪米特人
tenterhook	张布钩
cyrix	美国Cyrix公司
cyrix	世界上较大的CPU芯片生产厂商
caesarean	凯撒的
caesarean	凯撒
caesarean	帝国的
caesarean	帝国
caesarean	专制的
caesarean	专制
caesarean	古罗马皇帝的拥护者
caesarean	专制统治的拥护者
payoff	发工资
payoff	付清
payoff	盈利
payoff	高潮
payoff	报应
payoff	贿赂
payoff	决定性的
payoff	决定性
galactic	极大的
galactic	极大
galactic	银河的
galactic	银河
galactic	乳汁的
galactic	乳汁
halfy	没腿的残疾人
halfy	无腿乞丐
copperbottom	用铜包的底
biathlon	两项竞赛
seizin	=seisin
liquescence	液化
ukraine	乌克兰
twisteroo	意想不到的转折
twisteroo	峰回路转的叙述
lakelet	小湖
corneoscleral	角膜巩膜的
corneoscleral	角膜巩膜
interferometer	干涉计
interruptedly	中断地
interruptedly	中断
gelatinate	使成胶状
annual	一年生植物
annual	年刊
annual	年鉴
annual	一年一次的
annual	一年一次
annual	每年的
annual	每年
annual	一年生的
annual	一年生
clv	Constant
clv	Linear
clv	Velocity
clv	恒定线速度
crossline	英文报纸之单行标题
seasat	卫星
stature	身高
stature	身材
stature	高度
nonjoinder	非共同诉讼
kudu	捻
insufficiently	不够地
insufficiently	不够
insufficiently	不能胜任地
insufficiently	不能胜任
gralloch	内脏
anorectic	食欲缺乏的
anorectic	食欲缺乏
anorectic	厌食的
anorectic	厌食
unoffending	不惹人生气的
unoffending	不惹人生气
unoffending	无害的
unoffending	无害
controlled	受约束的
controlled	受约束
controlled	克制的
controlled	克制
