presidiary	驻防
silverless	不用银制的
silverless	不用银制
intubate	把管子插进
instanton	瞬子
linstock	火绳杆
tun	大酒桶
tun	发酵桶
tun	装入大桶
scrophulariaceous	玄参科的
scrophulariaceous	玄参科
paunch	腹
paunch	瘤胃
paunch	大肚子
paunch	剖腹
gambly	碰运气的
gambly	碰运气
carnapper	专偷汽车的贼
saida	赛伊达
telosyndesis	=telosynapsis
effortless	容易的
effortless	容易
effortless	不费力气的
effortless	不费力气
moravian	摩拉维亚的
moravian	摩拉维亚
moravian	摩拉维亚人的
moravian	摩拉维亚人
moravian	摩拉维亚人
moravian	摩拉维亚教徒
amitrol	氨基三唑
amitrol	杀草强
progestin	孕酮
progestin	黄体酮
acini	acinus的复数
yellowbird	黄雀
yellowbird	金翅雀
yellowbird	黄鹂鸟
omnicompetent	有全权的
omnicompetent	有全权
chlorine	氯
archicerebrum	原脑
enjail	把……关进监狱
enjail	囚禁
enjail	软禁
nonpositive	非正的
nonpositive	非正
nonpositive	负值的
nonpositive	负值
serif	衬线
serif	截线
erythorbic	异抗坏血酸
immature	不成熟的
immature	不成熟
immature	未完全发展的
immature	未完全发展
lyrate	竖琴似的
lyrate	竖琴似
lyrate	竖琴状的
lyrate	竖琴状
rheogoniometry	流变测角法
hellen	赫楞
mns	Master
mns	of
mns	Nutritional
mns	Science
mns	营养学硕士
jay	鸟
jay	碎嘴唠叨的人
jay	傻瓜
schoolyard	校园
schoolyard	运动场
freeloader	不速之客
freeloader	揩油的人
leucocythemia	白血病
unalienated	未转让的
unalienated	未转让
unalienated	未让渡的
unalienated	未让渡
eightieth	第八十
eightieth	八十分之一
eightieth	第八十
deuteranopia	绿色盲
sortie	出击
sortie	突围
misanthropy	厌恶人类
misanthropy	不愿与人来往
compound	混合物
compound	化合物
compound	复合的
compound	复合
compound	混合
compound	配合
katie	卡蒂
justinianian	查士丁尼一世
breslau	布雷斯劳(波兰西南部城市弗罗茨瓦夫
playlet	短剧
playlet	小戏
metho	卫理公会教徒
basilect	下层方言
detritivorous	食粪的
detritivorous	食粪
subgiant	亚巨星
galactokinase	半乳糖激酶
phosphatidyl	磷脂酰
polystomatous	多口孔的
polystomatous	多口孔
dictionary	字典
dictionary	词典
inconformity	不一致
inconformity	不适合
angell	天使
angell	守护神
vitligo	白斑病
vitligo	白癜风
asthenic	衰弱的
asthenic	衰弱
asthenic	虚弱的人
pyrographer	烙花人
pyrographer	烫花人
gilberta	吉尔伯塔
philter	春药
philter	媚药
stanine	9级记分
tibiotarsus	胫跗节
tibiotarsus	胫跗骨
shippable	可装运的
shippable	可装运
shippable	可运输的
shippable	可运输
cosmopolitanism	世界大同主义
cosmopolitanism	四海一家
amerenglish	美国英语
hydrate	氢氧化物
hydrate	与水化合
gaba	伽马氨基丁酸
hyaloplasm	透明质
sociolinguistics	社会语言学
rhinologist	鼻科医生
jal	Japan
jal	Air
jal	Lines
jal	日本航空公司
painsworthy	值得花力气的
painsworthy	值得花力气
painsworthy	值得下功夫的
painsworthy	值得下功夫
gangue	脉石
archdeaconship	副主教的职位
lorrie	洛丽
yeh	是
yeh	而且
outstare	以目光压倒
outstare	将……瞪得无法招架
conformation	构造
lapidarian	碑文的
lapidarian	碑文
lapidarian	刻在石头上的
lapidarian	刻在石头上
pathophysiology	病理生理学
duluth	德卢斯
stocky	矮壮的
stocky	矮壮
stocky	健壮结实的
stocky	健壮结实
ornamental	装饰物
ornamental	观赏植物
ornamental	装饰性的
ornamental	装饰性
ornamental	装饰的
ornamental	装饰
ornamental	装饰用的
ornamental	装饰用
institute	学会
institute	学院
institute	协会
institute	创立
institute	开始
institute	制定
institute	开始
mixblood	混血儿
parorexia	食欲倒错
parorexia	异食癖
alcoholize	变成酒精
alcoholize	醇化
alcoholize	浸入酒精
hideously	可怕地
hideously	可怕
hideously	非常讨厌地
hideously	非常讨厌
polyphonic	有许多声音的
polyphonic	有许多声音
polyphonic	对位法的
polyphonic	对位法
polyphonic	复调的
polyphonic	复调
spawny	似鱼卵的
spawny	似鱼卵
yaffle	绿色啄木鸟
tedious	单调乏味的
tedious	单调乏味
tedious	沉闷的
tedious	沉闷
tedious	冗长乏味的
tedious	冗长乏味
participial	分词的
participial	分词
metaphorical	隐喻性的
metaphorical	隐喻性
metaphorical	比喻性的
metaphorical	比喻性
gremial	司教用覆膝盖布
apropos	适当地
apropos	适当
apropos	恰好的
apropos	恰好
promiscuously	杂乱地
promiscuously	杂乱
promiscuously	混杂地
promiscuously	混杂
philomela	夜莺
idiotropic	内省的
idiotropic	内省
idiotropic	内向的
idiotropic	内向
pseudoalum	假矾
postcranial	颅后的
postcranial	颅后
postcranial	颅下的
postcranial	颅下
hexapodous	具六足的
hexapodous	具六足
hexapodous	昆虫的
hexapodous	昆虫
endochondral	软骨内的
endochondral	软骨内
helophyte	沼生植物
perchlorinate	使全氯化
dragrope	拖绳
enring	围绕
enring	环绕
mongoose	猫鼬
untwine	解开
untwine	拆开
tripey	低劣的
tripey	低劣
tripey	废物似的
tripey	废物似
tripey	垃圾般的
tripey	垃圾般
tripey	无价值的
tripey	无价值
naillike	像指甲的
naillike	像指甲
naillike	像钉的
naillike	像钉
whisker	腮须
whisker	胡须
whisker	扫拂者
whisker	使有须
whisker	使有须状物
mesial	中央的
mesial	中央
mesial	中间的
mesial	中间
annotate	注释
annotate	评注
geometrism	几何画派
febrific	产热的
febrific	产热
febrific	发烧的
febrific	发烧
electrohydraulics	水中放电法
electrohydraulics	液内放电法
trochilics	旋转机械运动学
piezocrystallization	压结晶
curacy	副牧师的职务
centimetre	厘米
centimetre	公分
clou	中心思想
clou	最引人处
period	时期
period	学时
period	节
period	句点
period	周期
period	经期
period	过去某段时期的
period	过去某段时期
period	没有了
grayling	河鳟
grayling	褐色蝶类
cotyledonous	有子叶的
cotyledonous	有子叶
renormalization	重正化
lustreless	无光泽的
lustreless	无光泽
lustreless	无光彩的
lustreless	无光彩
lustreless	平淡乏味的
lustreless	平淡乏味
semihyaline	半透明的
semihyaline	半透明
washhouse	洗衣房
spinout	回形滑行
unspent	没有用完的
unspent	没有用完
unspent	未耗尽的
unspent	未耗尽
unspent	仍有效的
unspent	仍有效
cicerone	导游
agronome	=agronomist
bauxite	矾土
bauxite	铁铝氧石
unfastidious	不爱挑剔的
unfastidious	不爱挑剔
unfastidious	不过分讲究的
unfastidious	不过分讲究
unfastidious	不苛求的
unfastidious	不苛求
counterdrug	解瘾药
yieldingness	易弯曲
yieldingness	柔顺
plumose	有羽毛的
plumose	有羽毛
plumose	羽毛状的
plumose	羽毛状
inner	内部的
inner	内部
inner	里面的
inner	里面
inner	内心的
inner	内心
inner	内部
deregister	撤销……的注册
deregister	从登记簿上注销:
gradient	倾斜的
gradient	倾斜
gradient	梯度
gradient	倾斜度
gradient	坡度
preheating	预热
phidippides	即Pheidippides
deuteranomaly	绿色弱
begem	用宝石装饰
begem	使如同镶宝石一般
opiophagy	吸食鸦片
anesthetize	麻痹
anesthetize	使麻痹
ferlie	奇异景象
ferlie	奇迹
ferlie	令人惊奇的事物
matraca	木制机械响鼓
proventriculus	前胃
underrate	低估
underrate	看轻
uglily	丑陋地
uglily	丑陋
uglily	难看地
uglily	难看
carvacrol	香芹酚
carvacrol	香荆芥酚
ngbandi	恩巴恩迪语(中非共和国和北扎伊尔的一种班图
colza	菜种
colza	菜子
laloplegia	言语器肌麻痹
laloplegia	语器麻痹
laloplegia	言语机能障碍
paragon	模范
wandering	漫游的
wandering	漫游
wandering	徘徊的
wandering	徘徊
wandering	流浪的
wandering	流浪
wandering	蜿蜒的
wandering	蜿蜒
wandering	漫游
wandering	离题
wandering	神志恍惚
angostura	安古斯图腊树皮
disagreeably	不愉快地
disagreeably	不愉快
disagreeably	不合口味地
disagreeably	不合口味
mucin	粘液素
rotogravure	照相凹版
rotogravure	轮转影印
trochosphere	=trochophore
paleocrystic	长期冻结的
paleocrystic	长期冻结
paleocrystic	古结晶的
paleocrystic	古结晶
paleocrystic	由古结晶冰组成的
paleocrystic	由古结晶冰组成
limation	锉
limation	抛光
limation	磨光
unpracticed	练习不足的
unpracticed	练习不足
unpracticed	不熟练的
unpracticed	不熟练
laa	light
laa	antiaircraft
laa	轻型高射炮
laa	轻型高射炮兵
costa	前缘脉
captainship	首领或队长之职
captainship	统率者的资格
kain	实物租税
kain	实物地租
onto	在……之上
superweak	超弱的
superweak	超弱
tannate	丹宁酸盐
louisianian	美国路易斯安那州的人或居民
louisianian	路易斯安那州的
louisianian	路易斯安那州
hoofer	职业舞蹈家
generous	慷慨的
generous	慷慨
generous	大方的
generous	大方
generous	有雅量的
generous	有雅量
tension	紧张
tension	不安
tension	拉紧
tension	压力
tension	张力
tension	牵力
tension	电压
tension	拉紧
tension	使紧张
charolais	夏洛来牛
charolais	夏洛来牛种
irradiative	会发光的
irradiative	会发光
irradiative	有启发作用的
irradiative	有启发作用
aesculin	七叶树素
linguini	扁面条
ferrate	高铁酸盐
soaked	浸湿
tansy	艾菊
slapdab	正好
slapdab	恰好
euclidean	a
euclidean	欧几里得的
euclidean	欧几里
euclidean	欧几里得几何学的
euclidean	欧几里得几何学
horticulturist	园艺家
gazel	=gazelle
when	就在那个时候
when	在……的时候
when	什么时候
when	……的时候
when	pro
when	什么时侯
when	那时
unpregnant	不合适的
unpregnant	不合适
unpregnant	不恰当的
unpregnant	不恰当
plebiscite	平民制定法
plebiscite	公民投票
preexilian	放逐前的
preexilian	放逐前
preexilian	犹太人被放逐至巴比伦以前的
preexilian	犹太人被放逐至巴比伦以前
preexilian	公元586年以前
tedder	翻晒者
tedder	翻晒机
refinement	精致
refinement	文雅
refinement	精巧
undomesticated	不爱做家务的
undomesticated	不爱做家务
undomesticated	不习惯家庭生活的
undomesticated	不习惯家庭生活
undomesticated	未驯服的
undomesticated	未驯服
gamme	=gamut
eurygnathous	上颔宽大的
eurygnathous	上颔宽大
priory	小修道院
cholera	霍乱
worker	工人
rugby	橄榄球
provencal	普罗旺斯的
provencal	普罗旺斯
provencal	普罗旺斯人的
provencal	普罗旺斯人
provencal	普罗旺斯人
provencal	普罗旺斯语
clarionet	木箫
clarionet	竖笛
clarionet	单簧管
fibrilla	小纤维
fibrilla	根毛
thicket	灌木丛
gutterman	卖便宜货的小贩
gutterman	清扫阴沟的工人
deneutralize	非中立化
fumble	摸索
slink	潜逃
lysine	赖氨酸
pious	虔诚的
pious	虔诚
pious	尽责的
pious	尽责
reexpand	再扩展
reexpand	再次膨胀
coastwaiter	监管沿岸货运的海关人员
reappointment	连任
reappointment	复职
boatswain	水手长
osteocyte	骨细胞
pruina	粉霜
cornfed	看来营养健康而带土气的
cornfed	看来营养健康而带土气
for	为了
for	因为
for	至于
for	对于
for	适合于
for	因为
anthea	安西娅
stratopause	平流层顶
assumptive	假设的
assumptive	假设
assumptive	傲慢的
assumptive	傲慢
brunet	浅黑肤色的男人
brunet	深色的
brunet	深色
piolet	冰镐
piolet	破冰斧
telferage	=telpherage
heatspot	雀斑
treehopper	角蝉
pipestem	烟斗管
pipestem	烟筒杆
pipestem	细长的东西
karyon	细胞核
karyon	核
gardez	加德兹
bourbonism	顽固的保守主义
bourbonism	波旁皇族之拥护
suprapersonal	超私人的
suprapersonal	超私人
suprapersonal	超个人的
suprapersonal	超个人
thermit	铝热剂
thermit	灼热剂
stitch	缝
stitch	缝合
stitch	一针
stitch	针脚
stitch	缝针
mica	云母
sebacic	癸二酸的
sebacic	癸二酸
sebacic	由癸二酸衍生的
sebacic	由癸二酸衍生
sfa	Scottish
sfa	Football
sfa	Association苏格兰足球协会
unlessened	未减少的
unlessened	未减少
paean	欢乐歌
paean	赞美歌
uninstructed	未经教导的
uninstructed	未经教导
strategetic	=strategic
vainglorious	虚荣的
vainglorious	虚荣
meccano	组合玩具
meccano	装配玩具
cinematics	电影艺术
tritural	用于研磨的
tritural	用于研磨
tritural	适合于研成粉的
tritural	适合于研成粉
tritural	适合于粉化的
tritural	适合于粉化
cullis	天沟
cullis	墙槽
canzona	=canzone
chicklet	少妇
chicklet	姑娘
melinda	梅林达
scenario	想定
scenario	游戏的关
scenario	或是某一特定情节
deanship	院长职
vstol	垂直短距起落
vstol	垂直短距起落飞机
cunene	库内纳河
hierachical	等级制度的
hierachical	等级制度
hierachical	僧侣统治的
hierachical	僧侣统治
hierachical	天使的
hierachical	天使
fluster	慌乱
fluster	狼狈
fluster	混乱
fluster	激动
fluster	使酩醉
fluster	使慌张
fluster	使激动
fluster	慌慌张张的行动
fluster	混乱
breakdown	崩溃
breakdown	衰弱
breakdown	细目分类
escapist	逃避现实的
escapist	逃避现实
escapist	逃避现实者
lithostratigraphic	9lIWEJstrE`tfIk/
lithostratigraphic	岩石层位I^rEfI/
lithostratigraphic	岩石层窝У
gore	血块
gore	淤血
gore	三角形布
gore	缝以补裆
gore	刺伤
gore	顶
darhan	达尔汗
obbligati	肋奏声部
obbligati	肋奏
subparagraph	小段
filiopietistic	过分表示孝敬的
filiopietistic	过分表示孝敬
disprove	反驳
disprove	驳斥
disprove	证明……为误
lampooner	讽刺文作家
lampooner	冷嘲热讽者
ringlet	小圈
ringlet	小环
ringlet	卷发
mephisto	=Mephistopheles
gasbag	气囊
gasbag	废话连篇的人
wilderness	荒野
wilderness	茫茫一片
wilderness	大量
wilderness	荒地
wilderness	荒
spender	用钱的人
spender	挥金如土的人
walloping	殴打
walloping	击败
walloping	巨大的
walloping	巨大
walloping	极好的
walloping	极好
walloping	十足地
walloping	十足
despicably	可鄙地
despicably	可鄙
despicably	卑劣地
despicably	卑劣
carmelita	卡梅丽塔
unconvince	使不确信
unconvince	使不信服
okra	黄秋葵
okra	秋葵荚
cubicule	=cubicle
carromata	畜力二轮车
bluntly	坦率地
bluntly	坦率
bluntly	率直地
bluntly	率直
photosensitise	9fEJtEJ`sensItIz/
photosensitise	tosensitize
primaeval	=primeval
dividable	=divisible
silviculture	造林术
silviculture	森林学
bekaa	贝卡
wobbegong	=carpet
wobbegong	shark
kainogenesis	=cenogenesis
undoubled	不再对折的
undoubled	不再对折
undoubled	展开的
undoubled	展开
undoubled	不再握紧的
undoubled	不再握紧
undoubled	松开的
undoubled	松开
tinclad	轻装甲炮艇
bivvy	临时营帐
bivvy	小帐篷
lative	方向格
stopcock	管闩
stopcock	活塞
stopcock	活栓
stopcock	旋塞阀
polytene	多线性的
polytene	多线性
polytene	多线染色体的
polytene	多线染色体
slatted	装有板条的
slatted	装有板条
slatted	用板条做的
slatted	用板条做
slatted	覆有板条的
slatted	覆有板条
hear	听到
hear	听说
hear	听取
hear	审理
hear	允许
hear	听见
hear	听到
wealthily	富有地
wealthily	富有
wealthily	丰富地
wealthily	丰富
bathysphere	深海调查用球形潜水装置
multitude	多数
multitude	群众
drawnet	=dragnet
atactic	不规则的
atactic	不规则
atactic	不合语法的
atactic	不合语法
javascript	Java描述语言
agrochemical	农用化学品
agrochemical	用农产品制得的化学品
gebang	马来亚棕榈
clear	清楚的
clear	清楚
clear	清晰的
clear	清晰
clear	清澈的
clear	清澈
clear	光亮的
clear	光亮
clear	空旷的
clear	空旷
clear	有条理的
clear	有条理
clear	清楚地
clear	清楚
clear	完全地
clear	完全
clear	扫除
clear	清除
clear	晴
clear	跳过
clear	净得
clear	净
peneplain	准平原
cannoneer	炮兵
cannoneer	炮手
rpq	request
rpq	for
rpq	price
rpq	quotation
rpq	报价申请书
cashbox	钱箱
cashbox	金库
xanthism	黄色素过多症
rework	重做
rework	改写
rework	重写
luteofulvous	橙褐色的
luteofulvous	橙褐色
indurative	变硬的
indurative	变硬
modificator	=modifier
hydrogasification	加氢气化
hydrogasification	临氢气化
striola	细条纹
striola	细线条
intervolve	互卷
intervolve	卷合
intervolve	互相牵连
genteelism	上流的谈吐
genteelism	假装绅士的谈吐
compendiary	简略的
compendiary	简略
compendiary	简明的
compendiary	简明
atlanta	亚特兰大
monosymptomatic	单症状的
monosymptomatic	单症状
tricel	特列赛尔
tricel	三醋酯纤维
biodynamical	生物动力的
biodynamical	生物动力
consecrated	神圣的
consecrated	神圣
consecrated	被视为神圣的
consecrated	被视为神圣
nereid	涅瑞伊得斯
tchotchke	=tsatske
thermopylae	塞莫皮莱
geologic	地质上的
geologic	质上
oomingmack	=musk
oomingmack	ox
musky	麝香的
musky	麝香
musky	有麝香味的
musky	有麝香味
musky	麝香似的
musky	麝香似
antifederalist	反联邦主义者
antifederalist	反联邦党员
son	儿子
son	女婿
son	孩子
son	圣子
son	耶稣基督
lassitude	疲乏
converse	相反的事物
converse	倒
converse	逆行
converse	相反的
converse	相反
converse	颠倒的
converse	颠倒
converse	谈话
converse	交谈
converse	认识
phonodeik	声波显示仪
maunder	唠叨地讲
maunder	徘徊
abbreviative	缩写的
abbreviative	缩写
abbreviative	缩略的
abbreviative	缩略
alecithal	无蛋黄的
alecithal	无蛋黄
alecithal	少蛋黄的
alecithal	少蛋黄
microelement	微型元件
coca	古柯
coca	古柯叶
seigniorage	君主特权
seigniorage	货币铸造税
gillian	吉莉安
etymology	语源
etymology	语源学
changemaker	换零钱机
allahabad	阿拉哈巴德
billingual	北京双语教育电子有限公司
billingual	开发多媒体英语教学软件
globalization	全球化
globalization	全球性
reloader	自动输煤机
bottom	底
bottom	底部
bottom	尽头
bottom	末端
bottom	底部的
bottom	底部
bottom	装底
bottom	查明真相
bottom	测量深浅
bottom	到达底部
bottom	建立基础
coloury	色泽良好的
coloury	色泽良好
coloury	品质优良的
coloury	品质优良
syria	叙利亚共和国
saucepot	炖锅
saucepot	蒸煮锅
overtaken	overtake的过去分词
cowfish	海牛
cowfish	角鱼
cowfish	江豚
glycoside	配醣
glycoside	配糖类
occultism	神秘主义
occultism	神秘学
occultism	神秘论
muscoid	苔藓状的
muscoid	苔藓状
costean	井探
costean	掘井勘探
shaman	萨满教的道士
shaman	僧人或巫师
pleochroism	多向色性
pleochroism	多色性
ostracoderm	甲胄鱼
makebate	惹是生非的人
retired	退役的
retired	退役
retired	退休
spheriform	球体的
spheriform	球体
spheriform	球形的
spheriform	球形
proximate	最近的
proximate	最近
anamnestic	记忆的
anamnestic	记忆
anamnestic	回想的
anamnestic	回想
condition	条件
condition	情形
condition	环境
condition	社会地位
condition	以……为条件
condition	使达到要求的情况
pantagruelist	庞大固埃式人物
pantagruelist	庞大固埃
easement	缓和
easement	减轻
easement	在他人土地上的通行权附属建筑物
easement	舒适
easement	安心
caffeic	咖啡的
caffeic	咖啡
lokanta	饭店
lokanta	酒家
vermiculation	蠕虫爬迹形的装饰
vermiculation	蠕动
sparable	无头小钉子
protochordate	原索动物
harvestman	收割者
harvestman	盲蜘蛛
abuilding	在建造中的
abuilding	在建造中
demonise	=demonize
erythrosin	赤藓红
erythrosin	四碘荧光素
erythrosin	新品酸性红
billion	十亿
waxlight	蜡烛
deconcentration	分散
deconcentration	排除集中
vlaanderen	=Flanders
unsuspecting	不怀疑的
unsuspecting	不怀疑
unsuspecting	无疑虑的
unsuspecting	无疑虑
unsuspecting	信任的
unsuspecting	信任
deipnosophist	餐桌上的健谈者
table	桌子
table	餐桌
table	工作台
table	平地层
table	石板
table	表格
table	桌子的
table	桌子
table	台子的
table	台子
table	搁置
table	嵌合
table	制表
overcare	自寻烦恼
overcare	杞忧
hypopharyngoscope	`haIpE9fArInN^EskEJp/
hypopharyngoscope	崖咽视镜
drop	滴下
drop	落下
drop	交往
drop	落下
drop	下降
drop	滴
drop	滴剂
drop	点滴
drop	微量
drop	下跌
hath	have的第三人称单数现在式
kryzhanovskite	水锰绿铁矿
collop	小肉片
collop	薄肉片
collop	皮肤的皱摺
haplopia	单视
yangtse	扬子江
yangtse	长江
bardling	青年吟游诗人
bardling	末流诗人
stepdance	踢踏舞
dilater	扩张肌
scratchback	搔背用的小扒子
lierne	枝肋
terror	恐怖
terror	可怕的人
terror	恐怖时期
terror	恐怖行动
utricle	小囊
utricle	小胞
utricle	胞果
stove	炉
paumotu	Archipelago
paumotu	=Tuamotu
paumotu	Archipelago
punchboard	击彩盘
punchboard	放荡女人
punchboard	烂污货
consultant	顾问
consultant	商议者
consultant	咨询者
meditative	沉思的
meditative	沉思
meditative	爱思考的
meditative	爱思考
meditative	冥想的
meditative	冥想
adjustive	调节的
adjustive	调节
adjustive	调整的
adjustive	调整
caecostomy	盲肠穿孔手术
dithering	抖动
female	女性
female	女人
female	雌兽
female	女性的
female	女性
female	女子的
female	女子
female	妇女的
female	妇女
female	雌的
female	雌
female	柔弱的
female	柔弱
female	柔和的
female	柔和
christopher	克里斯多佛
insalubrity	有碍健康
insalubrity	不健康
cancha	牲口圈
cancha	手球场
cancha	斗鸡场
swahili	斯瓦希里人的
swahili	斯瓦希里人
dressing	穿衣
dressing	装饰
dressing	敷裹
dressing	敷料
dressing	调味品
minever	白鼬皮
minever	白鼬
incident	事件
incident	事变
incident	附带的
incident	附带
incident	易于发生的
incident	易于发生
flotage	漂浮
flotage	漂浮物
flotage	浮力
sportswriting	体育新闻的写作
implicit	暗示的
implicit	暗示
implicit	盲从的
implicit	盲从
implicit	含蓄的
implicit	含蓄
implicit	固有的
implicit	固有
implicit	不怀疑的
implicit	不怀疑
implicit	绝对的
implicit	绝对
snobbism	势利
yakin	扭角羚
ashtray	烟灰缸
qintar	昆塔
shovelboard	打圆盘游戏
romneya	罂粟科植物
caseload	待处理案件之数量
pallidly	无光泽地
pallidly	无光泽
pallidly	苍白无血色地
pallidly	苍白无血色
nonflying	不飞的
nonflying	不飞
nonflying	不能飞的
nonflying	不能飞
siloxane	硅氧烷
rim	边
rim	轮缘
rim	蓝框
rim	镶边
rim	为……装边
rim	沿……边缘滚动
rim	形成边状
signal	信号
signal	信号的
signal	信号
signal	发信号
signal	用信号通知
falseness	虚伪
falseness	不忠实
falseness	不正确
chemotaxis	趋化现象
chemotaxis	趋药性
cess	税
cess	税率
cess	运气
neontology	近代生物学
rephrase	改述
rephrase	改撰
boxhaul	使船顺风势转向
euphrates	幼发拉底河
reverberatory	回响的
reverberatory	回响
reverberatory	反射的
reverberatory	反射
reverberatory	反响的
reverberatory	反响
judicable	可审判的
judicable	可审判
