sclerotioid	似菌核
irresistibly	无法抵抗
irresistibly	不能压制地
irresistibly	不能压制
rasse	麝香猫
rasse	小灵猫
ponytail	马尾辫
pustulant	引起脓疱的
pustulant	引起脓疱
pustulant	起脓疱剂
moonbow	月虹
rerun	再运行
aswarm	充满的
aswarm	充满
aswarm	拥挤的
aswarm	拥挤
radome	天线屏蔽器
chalcanthite	胆矾
chalcanthite	五水
chalcanthite	硫酸铜
chalcanthite	蓝矾
unquenched	未熄灭的
unquenched	未熄灭
unquenched	未冷却的
unquenched	未冷却
unquenched	未经遏制的
unquenched	未经遏制
unquenched	未消除的
unquenched	未消除
unquenched	未减弱的
unquenched	未减弱
knuckleball	不旋转球
dolphin	海豚
telegnomy	千里通
precool	预冷
precool	预冻
semiovoid	半卵形的
semiovoid	半卵形
bushtailed	模糊的
bushtailed	模糊
bushtailed	不肯定的
bushtailed	不肯定
mistook	mistake的过去式
mistook	误会
lightproof	防光的
lightproof	防光
unbeatable	无敌的
unbeatable	无敌
unbeatable	无与伦比的
unbeatable	无与伦比
soapboxer	街头讲演者
reamer	钻孔器
reamer	刀
reamer	铰床
mariculture	海洋生物养殖
lacey	=lacy
keyes	凯斯
snarlingly	咆哮着
snarlingly	怒吼着
antiquated	陈旧的
antiquated	陈旧
brummagem	伪造的
brummagem	伪造
brummagem	廉价而华丽眩目的
brummagem	廉价而华丽眩目
brummagem	廉价而华丽眩目之物
warrantable	可保证的
warrantable	可保证
warrantable	可承认的
warrantable	可承认
warrantable	可证明为正当的
warrantable	可证明为正当
roughdry	晾干而不烫平
eulogistic	颂扬的
eulogistic	颂扬
eulogistic	歌功颂德
ebulliency	沸腾
ebulliency	迸发
onset	攻击
onset	进攻
onset	有力的开始
onset	肇端
onset	发作
bluethroat	蓝点颏
bluethroat	蓝喉歌鸲
pluralize	使成复数
pluralize	以复数形式表示
jackboot	压迫者
terminator	终结者
terminator	终结器
terminator	明暗界限
gnathion	颔下点
gnathion	颚缝下端
proslavery	支持奴隶制度
shipbreaker	拆船业者
shelves	架子
martinique	马提尼克岛
apollinaris	矿泉饮料
mucific	分泌黏液的
mucific	分泌黏液
moniker	名字
moniker	绰号
madeira	大西洋的群岛名
madeira	该地产的白葡萄酒
maze	曲径
maze	迷宫
maze	迷津
maze	迷惘
maze	迷惑
maze	糊涂
maze	使迷惘
maze	使混乱
maze	迷失
unijugate	具一对小叶的
unijugate	具一对小叶
roadmanship	公路驾车技能
precious	宝贵的
precious	宝贵
precious	贵重的
precious	贵重
precious	珍爱的
precious	珍爱
precious	过于精致的
precious	过于精致
precious	珍爱的
precious	珍爱
disreputable	声名狼藉的
disreputable	声名狼藉
disreputable	破烂不堪的
disreputable	破烂不堪
hypokinetic	运动功能减退的
hypokinetic	运动功能减退
taskmistress	女工头
taskmistress	女监工
taskmistress	严格的女监督
supertanker	超大型油轮
supertanker	巨大型油轮
experimentally	实验上
experimentally	用实验方法
brazil	巴西
androdioecism	雄花两性花异株
androdioecism	雄全异株
scoundrelly	恶棍地
scoundrelly	恶棍
scoundrelly	流氓地
scoundrelly	流氓
trichinosed	患旋毛虫病的
trichinosed	患旋毛虫病
trichinosed	受旋毛虫侵扰的
trichinosed	受旋毛虫侵扰
sackable	可据以解雇理由的
sackable	可据以解雇理由
patriclinous	偏父性状的
patriclinous	偏父性状
kamptulicon	橡皮地毯
frenchman	法国人
cit	市民
cit	便服
cit	老百姓服装
wop	移居美国的南欧黑肤人
barefooted	光着脚的
barefooted	光着脚
barefooted	未戴帽地
barefooted	未戴帽
spitzenburg	一种美国产的早熟苹果
ichthyologically	鱼类学地
ichthyologically	鱼类学
pullicat	=bandanna
seagull	海鸥
semimystical	半神秘的
semimystical	半神秘
semimystical	半玄想的
semimystical	半玄想
rifleshot	步枪神枪手
martyrolatry	忠烈崇拜
shmatte	=schmatte
airdash	乘飞机急赶
airdash	快速飞行
airdash	匆匆乘飞机前往
tutto	全体的
tutto	全体
hae	有
hae	表示
bauxitic	铁铝氧石的
bauxitic	铁铝氧石
bauxitic	铁矾土的
bauxitic	铁矾土
marvin	马文
nephelometer	浊度计
nephelometer	测云计
intercensal	两次人口普查之间的
intercensal	两次人口普查之间
heritable	可遗传的
heritable	可遗传
heritable	可继承的
heritable	可继承
nonconcurrence	不赞成
uncandid	不真诚的
uncandid	不真诚
uncandid	不坦率的
uncandid	不坦率
pharmic	药物的
pharmic	药物
pharmic	药学的
pharmic	药学
opiatic	鸦片制剂的
opiatic	鸦片制剂
opiatic	似鸦片麻醉剂的
opiatic	似鸦片麻醉剂
opiatic	由鸦片制剂引起的
opiatic	由鸦片制剂引起
bluepoint	蓝蚝
scap	Supreme
scap	Commander
scap	for
scap	the
scap	Allied
scap	Powers盟军最高统帅
natatory	游泳的
natatory	游泳
natatory	会游泳的
natatory	会游泳
natatory	用于游泳的
natatory	用于游泳
microscopy	显微镜方法
faunus	福纳斯
anthropophuism	神人同性论
disinhibition	抑制解除
disinhibition	脱抑制
disinhibition	去抑制
hns	Holy
hns	Name
hns	Society圣名会
seabeach	海滩
deacylate	脱去的酰基
imperceptibly	察觉不到地
imperceptibly	察觉不到
imperceptibly	微细地
imperceptibly	微细
cyclothyme	兴奋和压抑情感交替的人
cyclothyme	躁郁症患者
inveteracy	根深蒂固
inveteracy	积习
prefix	前缀
tarlac	打拉
sesquiplicate	立方之平方根的
sesquiplicate	立方之平方根
sesquiplicate	二分之三次方的
sesquiplicate	二分之三次方
triethylamine	三乙胺
experienceless	无经验的
experienceless	无经验
experienceless	缺乏经验的
experienceless	缺乏经验
experienceless	不老练的
experienceless	不老练
kablooey	出了毛病的
kablooey	出了毛病
unavowed	未公开承认的
unavowed	未公开承认
unavowed	未公开宣布的
unavowed	未公开宣布
unavowed	秘密的
unavowed	秘密
speedster	高速行进的人
speedster	高速汽车
speedster	超速驾驶者
chordotonal	对声音有反应的
chordotonal	对声音有反应
comedian	喜剧演员
venesector	静脉切开医师
venesector	放血医师
venesector	采血样医师
fugu	河豚
cypripedium	兜兰属植物
induct	感应
skimobile	履带式雪上汽车
annamese	安南的
annamese	安南
annamese	安南人的
annamese	安南人
annamese	安南语的
annamese	安南语
annamese	安南
annamese	安南语
absentation	缺席
snowshoe	雪鞋
snowshoe	穿雪鞋走路
proportioned	成比例的
proportioned	成比例
proportioned	相称的
proportioned	相称
menostaxis	经期延长
equation	相等
equation	平衡
equation	综合体
equation	因素
equation	方程式
equation	等式
pola	=Pula
diesel	柴油机
prodigious	巨大的
prodigious	巨大
subdirectory	子目录
fallibly	容易犯错地
fallibly	容易犯错
fallibly	容易受骗地
fallibly	容易受骗
formate	甲酸盐
formate	编队飞行
famacide	毁谤者
telegnosis	千里通
ireland	爱尔兰
makhachkala	马哈奇卡拉
raging	狂怒的
raging	狂怒
sicken	使患病
sicken	使嫌恶
sicken	使恶心或昏晕
sicken	得病
sicken	变厌腻
programmatic	标题音乐的
programmatic	标题音乐
programmatic	节目的
programmatic	节目
tyranny	暴政
tyranny	苛政
tyranny	专治
numismatology	货币学
antimetabolite	抗代谢物
phoniness	虚假
chickaree	红毛栗鼠的一种
boer	布尔人
boer	布尔的
boer	布尔
boer	荷裔南非人的
boer	荷裔南非人
scampish	流氓的
scampish	流氓
scampish	无赖的
scampish	无赖
graphonomy	书写法学科
filamerican	亲美菲律宾人的
filamerican	亲美菲律宾人
filamerican	亲美菲律宾人组成的
filamerican	亲美菲律宾人组成
jinricksha	人力车
jinricksha	黄包车
jinricksha	东洋车
cosmopolitical	世界性政策的
cosmopolitical	世界性政策
pronatalist	鼓励
danzig	但泽(波兰北部港市格但斯克
knotted	有节的
knotted	有节
knotted	多节的
knotted	多节
knotted	棘手的
knotted	棘手
echolalia	模仿言语
tiemannite	硒汞矿
transformerless	无变压器的
transformerless	无变压器
transformerless	不使用变压器而产生的
transformerless	不使用变压器而产生
preservice	服役前的
preservice	服役前
disincentive	妨碍活动的
disincentive	妨碍活动
disincentive	使受挫折的事物
balneation	入浴
smouch	接吻
palingenetic	新生的
palingenetic	新生
palingenetic	轮回
rhino	钱
rhino	现金
moslemism	伊斯兰教
moslemism	回教
seemliness	适当
seemliness	恰当
seemliness	合乎礼仪
birdhouse	小鸟笼
birdhouse	小鸟舍
birdhouse	禽舍
lampshade	灯罩
chanter	吟唱者
chanter	唱圣歌者
chanter	风笛的笛管
chanter	骗卖者
disimmure	解放
disimmure	使脱离拘禁
arca	槟榔树或其果实
moisher	闲荡
moisher	溜达
clumsily	笨拙地
clumsily	笨拙
clumsily	粗陋地
clumsily	粗陋
clumsily	不漂亮地
clumsily	不漂亮
flagfeather	鸟翅的翮
secutor	古罗马斗士
rorty	有趣的
rorty	有趣
rorty	喜欢玩乐和刺激的
rorty	喜欢玩乐和刺激
rorty	醉人的
rorty	醉人
pungi	尖竹钉
heptarchy	七头统治
heptarchy	七国连盟
heptarchy	七王国
zizit	流苏
ferroelectric	铁电物质
ferroelectric	铁电的
ferroelectric	铁电
homophyly	类似性
pacificism	和平主义
pacificism	反战言论
accompaniment	陪伴物
accompaniment	伴奏
funiform	绳状的
funiform	绳状
funiform	带状的
funiform	带状
scatterbrained	注意力不集中的
scatterbrained	注意力不集中
micromicron	微微米
hooded	戴头巾的
hooded	戴头巾
hooded	有罩盖的
hooded	有罩盖
pediculosis	生虱子
heck	饲草架
recap	翻新胎面
recap	翻新的轮胎
laodicea	劳迪西亚
sonograph	声谱仪
xanthoxylum	秦椒属植物
ossa	os的复数
content	内容
content	容量
content	目录
content	满足
content	满足的
content	满足
content	满意的
content	满意
content	愿意
content	使满足
yvette	伊薇特
prepositive	前置的
prepositive	前置
semitise	=Semitize
wheedle	诱骗
wheedle	哄骗
wheedle	骗得
wheedle	骗
wheedle	哄骗
obligato	助奏
obligato	助唱
obligato	不能省略的
obligato	不能省略
multiple	多样的
multiple	多样
multiple	多重的
multiple	多重
multiple	倍数
multiple	若干
multiple	成倍增加
kittul	棕榈
polewards	=poleward
remount	再上
remount	重登
remount	重新安装
remount	替班马匹
remount	新马
intelligible	可理解的
intelligible	可理解
santera	女祭司
minimine	蜂毒
sixteen	十六
attain	达到
attain	获得
attain	获
attain	达到
precancerous	癌症前期的
precancerous	癌症前期
dreamboat	理想目标
dreamboat	理想人物
dreamboat	爱人
ipoh	怡保
australoid	澳大利亚土著居民的
australoid	澳大利亚土著居民
australoid	澳大利亚土著居民
fungicidal	真菌的
fungicidal	真菌
fungicidal	由真菌引起的
fungicidal	由真菌引起
entemple	把……放置于庙中
longways	纵
longways	长地
longways	长
forefathers	祖先
forefathers	先人
find	找到
find	发现
find	感到
find	查明
find	得到
find	认为
find	见到……的存在
find	裁决
find	发现
find	在文件中查找指定的字符串
unaffectedly	自然地
unaffectedly	自然
unaffectedly	真挚地
unaffectedly	真挚
bigamous	犯重婚罪的
bigamous	犯重婚罪
bigamous	重婚的
bigamous	重婚
wattled	由编条织成的
wattled	由编条织成
wattled	有肉垂的
wattled	有肉垂
monopitch	单音高
monopitch	单音调
insipid	没有味道的
insipid	没有味道
insipid	平淡的
insipid	平淡
papalist	教皇之信徒
unsportsmanlike	不光明正大的
unsportsmanlike	不光明正大
unsportsmanlike	没有运动家风格的
unsportsmanlike	没有运动家风格
perfectibility	完全性
metrology	度量衡学
metrology	度量衡
formulism	公式主义
rimfire	发射边缘发火弹的
rimfire	发射边缘发火弹
rimfire	边缘发火弹
woodwaxen	=dyer''s
woodwaxen	greenweed
tarp	防水布
tarp	油布
confidante	知己的女友
pabouche	=babouche
electrooculogram	I`lektrEJ9CJlE^rAm/
electrooculogram	眼kjJ`lC^rEfI/
electrooculogram	[叶缤
electrooculogram	眼电图/絔眼动电图描记法
ampule	一次用量的针剂
ampule	安瓿
damply	潮湿地
damply	潮湿
damply	衰减地
damply	衰减
bitter	苦的
bitter	苦
bitter	痛苦的
bitter	痛苦
bitter	怀恨的
bitter	怀恨
conceive	构思
conceive	以为
conceive	持有
conceive	怀孕
conceive	考虑
conceive	设想
reluctivity	磁阻率
fractionize	化为分数
fractionize	细分
fractionize	分为小部分
gastrologer	美食学家
gastrologer	烹饪学家
ulna	尺骨
pernik	佩尔尼克(旧称季米特洛沃
anchorperson	新闻节目主持人
ultramicrofiche	=ultrafiche
brutalitarian	提倡残忍手段的人
antimonate	锑酸盐
encephalon	脑
encephalon	脑髓
especial	特别的
especial	特别
especial	特殊的
especial	特殊
launderette	自动洗衣店
outblaze	发光芒
outblaze	迸发热情
outblaze	亮光超过
barque	三桅帆船
barque	船
broadwife	女黑奴
parabasis	合唱队主唱段
nankin	本色棉布
nankin	淡黄色
t	symb
t	氚
t	字母t
disdain	轻蔑
disdain	以高傲的态度对待
disdain	蔑视
disdain	鄙弃
shandygaff	=shandy
frostbite	霜寒
frostbite	冻伤
frostbite	被霜伤害
frostbite	使冻伤
diffusivity	扩散能力
diffusivity	扩散率
trichlorethylene	=trichloroethylene
esparto	细茎针草
mossycup	oak=bur
mossycup	oak
kahoolawe	卡霍奥拉维岛
muscardine	僵病
muscardine	硬化病
cheese	干酪
cheese	头等的人或事物
archesporial	孢子细胞的
archesporial	孢子细胞
conaffetto	深情地
conaffetto	深情
ventrolateral	腹外侧的
ventrolateral	腹外侧
neutralistic	中立主义的
neutralistic	中立主义
adnascent	附生的
adnascent	附生
sw	southwest
sw	西南
sw	southwestern
sw	向西南的
sw	向西南
filamentoid	如丝的
filamentoid	如丝
filamentoid	如纤维的
filamentoid	如纤维
liverwurst	肝泥香肠
astrophysical	天体物理学的
astrophysical	天体物理学
pocky	痘痕的
pocky	痘痕
polydymite	辉镍矿
julep	冰镇薄荷酒
julep	糖浆药水
julep	药草饮料
molluscan	软体动物的
molluscan	软体动物
molluscan	似软体动物的
molluscan	似软体动物
ozonosphere	臭氧层
connate	天生的
connate	天生
connate	先天的
connate	先天
connate	同族的
connate	同族
overwater	水上的
overwater	水上
overwater	越过水域的
overwater	越过水域
semblable	相似的
semblable	相似
semblable	外表的
semblable	外表
semblable	相似
semblable	类似
technography	技术工艺学
syngarny	有性生殖
syngarny	配子配合
capitalistic	资本主义的
capitalistic	资本主义
capitalistic	资本家的
capitalistic	资本家
leges	lex的复数
zoftick	丰满的
zoftick	丰满
zoftick	性感的
zoftick	性感
boyg	无形
sycee	银锭
spasmolysis	解痉
umwelt	客观世界
umwelt	环境
tertschite	纤硼钙石
immaterialize	使失去实体
immaterialize	使成无形
phosphagen	磷酸原
marketbasket	市场指数总览
macrosegment	大音段
spectrology	光谱分析学
suntanned	给太阳晒黑的
suntanned	给太阳晒黑
accompanier	同伴
accompanier	伴唱者
obdr	One
obdr	Button
obdr	Disaster
obdr	Resuming
obdr	单键灾难恢复
dubiously	可疑地
dubiously	可疑
dubiously	怀疑地
dubiously	怀疑
melee	混战
melee	搏斗
melee	格斗
psoralea	补骨脂
disappearance	不见
disappearance	消失
incantatory	咒语的
incantatory	咒语
incantatory	魔咒的
incantatory	魔咒
cantor	合唱指挥家
cantor	领唱者
pont	缆拉渡船
shadblossom	=shadbush
mari	=marijuana
bortsch	罗宋汤
prospero	普洛斯彼罗
noose	套索
noose	束缚
noose	陷阱
noose	绞刑
noose	用套索捉
mca	Micro
mca	Channel
mca	Architecture
mca	微通道结构
mosslike	苔藓样的
mosslike	苔藓样
dihydrotestosterone	二氢睾酮
randomize	使随机化
randomize	完全打乱
randomize	作任意排列
billon	银与铜锡等的合金
prurience	好色
prurience	渴望
phenetic	表现型分类法的
phenetic	表现型分类法
synezesis	=synizesis
disestablish	废除…………的
disestablish	废除…………
disestablish	使政教分离
krummholz	高山矮曲林
focus	震源
focus	聚焦
focus	注视
focus	使集中在焦点上
focus	定焦点
focus	调焦
focus	集中
derepress	实行去阻遏
furnishment	装备
furnishment	装置
finikin	过份挑剔的
finikin	过份挑剔
finikin	过份讲究的
finikin	过份讲究
remilitarize	重新武装
remilitarize	使重新军事化
smock	工作服
medallist	奖章获得者
hoverbarge	气垫驳船
williams	威廉斯
renaissant	文艺复兴时期的
renaissant	文艺复兴时期
arching	弓状结构
arching	拱架
imbricate	边缘重叠成瓦状
imbricate	重叠成瓦状的
imbricate	重叠成瓦状
imbricate	鳞状的
imbricate	鳞状
insulative	绝缘的
insulative	绝缘
insulative	隔音的
insulative	隔音
devitalize	夺去生命
devitalize	使衰弱
unbaked	未熟的
unbaked	未熟
walkabout	徒步旅行
walkabout	长期短期丛林流浪
placename	地名
hepcat	爵士音乐家
hepcat	爵士音乐手
hepcat	迷
vagrancy	游移不定
vagrancy	漂泊
vagrancy	流浪
vagrancy	离题
corybantic	疯狂的
corybantic	疯狂
corybantic	狂乐乱舞的
corybantic	狂乐乱舞
tit	乳头
tit	山雀
tit	轻打
tit	小马
tit	少妇
ergonomics	人类工程学
ergonomics	生物工程学
ergonomics	工效学
soapstone	皂石
canzonet	抒情而轻快的歌曲
canzonet	小调
gneiss	片麻岩
valerian	颉草属植物
valerian	自其根茎采制之镇静剂
mastoideal	=mastoid
dipartition	区分
dipartition	划分
civics	公民
resorb	再吸收
roundish	圆的
roundish	圆
remelt	再融化
remelt	再熔化
standpatter	保守分子
occasionally	有时候
occasionally	偶而
sabc	South
sabc	African
sabc	Broadcasting
sabc	Corporation
sabc	南非广播公司
daylight	日光
daylight	白昼
daylight	白天
betamethasone	倍他米松
replica	复制品
judaise	信仰犹太教
heresiologist	异教研究者
heresiologist	论述异教者
hebraize	使成希伯来语
hebraize	使成希伯来式
hebraize	希伯来化
hebraize	说希伯来话
hebraize	希伯来语式地说
trine	三倍的
trine	三倍
trine	三分一对座的
trine	三分一对座
trine	三个一组
trine	三个一套
thuringian	图林根的
thuringian	图林根
thuringian	图林根人的
thuringian	图林根人
thuringian	图林根文化的
thuringian	图林根文化
lift	举起
lift	电梯
lift	起重机
lift	搭车
lift	升高
lift	提高
lift	举起
lift	空运
lift	升起
lift	消散
lift	耸立
vadose	渗流的
vadose	渗流
shuffle	拖着脚走
shuffle	混乱
shuffle	蒙混
shuffle	洗纸牌
shuffle	拖曳
shuffle	搅乱
shuffle	慢吞吞地走
shuffle	推诿
shuffle	洗牌
orphanize	使成为孤儿
pomace	果渣
pomace	油渣
spindrift	海浪的飞沫
consecrate	用作祭祀
consecrate	献给
consecrate	使神圣
consecrate	被献给神的
consecrate	被献给神
consecrate	神圣的
consecrate	神圣
carnose	肉的
carnose	肉
richer	更富有的
richer	更富有
limey	英国佬
limey	英国海军
limey	英国人
sublunate	几乎成新月形的
sublunate	几乎成新月形
audiometrist	听力测定
skepticism	怀疑论
peptalk	发表鼓励性演说
peptalk	以鼓舞性演说鼓励
twinkle	闪烁
twinkle	闪耀
twinkle	闪光
twinkle	闪烁
twinkle	发光
twinkle	牛眼
administratress	女管理人
sandstone	沙岩
divi	红利
divi	股息
divi	股利
undiversified	无变化的
undiversified	无变化
undiversified	千篇一律的
undiversified	千篇一律
dynamist	物力论者
dynamist	力本论者
diathermal	透热疗法的
diathermal	透热疗法
ethnohistorical	/
ethnohistorical	人种史裬Ll/
ethnohistorical	人种史学的У
irascible	易怒的
irascible	易怒
irascible	暴躁的
irascible	暴躁
operculum	盖
arbovirus	虫媒病毒
arbovirus	节肢动物传染病毒
fallibility	易错
fallibility	不可靠
fallibility	易误
demagnetize	消磁
demagnetize	使退磁
absorbate	被吸收的物质
constrict	压缩
woodpecker	啄木鸟
sodar	声探测器
sodar	声雷达
fti	federal
fti	tax
fti	included联邦税款在内
teliospore	冬孢子
representee	受陈述者
tonic	激励的
tonic	激励
tonic	滋补的
tonic	滋补
tonic	滋补剂
tonic	滋补品
outdo	胜过
incondensability	不能凝缩的
incondensability	不能凝缩
souterrain	地下室
souterrain	地下走廊
souterrain	地下储藏室
cantonalism	州郡行政制
stairway	楼梯
revelationist	相信天启的人
revelationist	启示录作者
sima	硅镁圈
sima	硅镁带
sima	硅镁层
eyepoint	出射点
naha	那霸
gonadotrophic	=gonadotropic
unequipped	未配备所需物品的
unequipped	未配备所需物品
unequipped	无准备的
unequipped	无准备
harrow	耙
harrow	使精神痛苦
harrow	耙掘
harrow	伤害
harrow	使苦恼
harrow	被耙松
festal	节日的
festal	节日
festal	欢乐的
festal	欢乐
festal	祭日的
festal	祭日
kelpie	马形水鬼
vernacular	本国的
vernacular	本国
reata	=lariat
multithreading	多线索
multithreading	多线程
brushfire	局部的
brushfire	局部
brushfire	小规模的
brushfire	小规模
oxalis	酢浆草
eldership	长辈
eldership	前辈
perpetually	永恒地
perpetually	永恒
perpetually	终身地
perpetually	终身
allotheism	异神崇拜
leucoma	角膜白斑
anthropometric	人体测量的
anthropometric	人体测量
manometer	压力计
mixen	粪堆
mixen	混合肥料堆
tennis	网球运动
tennis	网球的
tennis	网球
tennis	用于网球运动的
tennis	用于网球运动
tennis	打网球
kunashir	国后岛
blub	哭
blub	哭着说出
blub	一阵哭泣
dataphone	电脑通讯
member	成员
member	会员
member	议员
member	一部分
member	推论的命题
nitrazepam	硝基安定
heathen	不信上帝者
heathen	异教徒
heathen	野蛮人
heathen	粗野的人
heathen	异教的
heathen	异教
heathen	野蛮的
heathen	野蛮
noncredit	无学分的
noncredit	无学分
punctate	有小刻点的
punctate	有小刻点
punctate	点状的
punctate	点状
idiographic	具体的
idiographic	具体
idiographic	各别的
idiographic	各别
idiographic	独特的
idiographic	独特
suspire	叹息
suspire	叹气
unmounted	未装框的
unmounted	未装框
unmounted	未裱糊的
unmounted	未裱糊
paranoiac	偏执狂的
paranoiac	偏执狂
paranoiac	偏执狂患者
software	软件
glimmering	微光
glimmering	隐约的一瞥
glimmering	薄弱地发光的
glimmering	薄弱地发光
decadent	颓废的
decadent	颓废
decadent	颓废者
lithify	岩化
mien	风度
kang	炕
parr	幼鱼
endue	穿上
endue	授予
endue	赋予
chinela	拖鞋
alkyd	醇酸树脂
uralborite	乌硼钙石
thermocautery	热烙术
libeccio	西南风
using	用
using	利用
bmd	ballistic
bmd	missile
bmd	defence
bmd	弹道导弹防御
tamper	干预
tamper	玩弄
tamper	贿赂
tamper	损害
tamper	削弱
tamper	篡改
tamper	篡改
tamper	捣棒
tamper	夯
tamper	填塞者
lineup	阵容
lineup	阵形
lineup	一组人
joky	爱开玩笑的
joky	爱开玩笑
outrunner	跑在前面的人
outrunner	跑在外侧的人
outrunner	马车侍从
outrunner	流出物
outrunner	先驱者
qaid	=caid
denude	使裸露
denude	剥下
denude	剥夺
denude	脱毛
sket	溅
sket	泼
sket	溅湿
sweatshop	血汗工厂
usufruct	用益权
usufruct	使用权
usufruct	行使用益权
usufruct	根据用益权占有
presumedly	推测上
presumedly	大概
koso	苦苏
multicoil	有数道线圈的
multicoil	有数道线圈
orchiectomy	睾丸切除术
velarization	软腭化
cctv	中央电视台
yogi	瑜珈修行者
yogi	信奉瑜珈者
yogi	沉思默想者
yogi	神秘莫测的人
intercontinental	大陆间的
intercontinental	大陆间
intercontinental	洲际的
intercontinental	洲际
lobate	叶状的
lobate	叶状
