synclinal	倾斜
crude	粗糙的
crude	粗糙
crude	拙劣的
crude	拙劣
crude	粗鲁的
crude	粗鲁
crude	天然的物质
dottrel	一种小鸟
dottrel	笨蛋
succi	succus
succi	的复数
trim	整齐的
trim	整齐
trim	整洁的
trim	整洁
trim	整理
trim	修整
trim	装饰
allergenic	引起过敏症的
allergenic	引起过敏症
dipteron	双翅类昆虫
dichlorodiethyl	sulphide二氯二乙硫醚
dichlorodiethyl	芥子气
falsework	脚手架
falsework	工作架
falsework	临时支架
reseize	再逮捕
reseize	夺回
ringed	镶环的
ringed	镶环
ringed	轮状的
ringed	轮状
ringed	被包围的
ringed	被包围
biogeochemistry	生物地球化学
hooky	逃学者
hooky	偷
hooky	多钩的
hooky	多钩
undershoot	射击低于
undershoot	脱靶
undershoot	负脉冲信号
undershoot	下冲
unthrifty	不节省的
unthrifty	不节省
unthrifty	浪费的
unthrifty	浪费
unthrifty	不兴旺的
unthrifty	不兴旺
alloy	合金
alloy	使成合金
alloy	减低成色
sizzard	潮热天
sizzard	热浪
zoogeographical	动物地理学的
zoogeographical	动物地理学
exclusionist	排他主义者
exclusionist	排他主义的
exclusionist	排他主义
adoption	采用
adoption	收养
cannabin	大麻脂
inertia	惯性
inertia	惯量
croze	桶顶槽
croze	凿槽具
idaho	爱达荷州
diffidation	绝交
diffidation	正式挑战
full	全部
full	完整
full	充满的
full	充满
full	完全的
full	完全
full	丰富的
full	丰富
full	完美的
full	完美
full	详尽的
full	详尽
full	丰满的
full	丰满
full	完全地
full	完全
full	整整
full	十分
full	把衣服缝得宽大
aphesis	字首音省略
temptingly	诱惑人地
temptingly	诱惑人
temptingly	迷人地
temptingly	迷人
entebbe	恩德培
contrabandage	违禁品之交易
contrabandage	走私
emulative	好胜
gigantic	巨人般的
gigantic	巨人般
gigantic	巨大的
gigantic	巨大
rhythmless	无旋律的
rhythmless	无旋律
rhythmless	不合拍子的
rhythmless	不合拍子
triboelectrification	摩擦生电
townsville	汤斯维尔
phlebotomist	刺络医师
phlebotomist	抽血者
madrilene	番茄清炖肉汤
urase	=urease
macrograph	肉眼图
scrutinous	仔细查看的
scrutinous	仔细查看
scrutinous	好刨根问底的
scrutinous	好刨根问底
diviner	占卜者
diviner	占卦的人
lichenoid	青苔状的
lichenoid	青苔状
lichenoid	似苔藓的
lichenoid	似苔藓
frosty	结霜的
frosty	结霜
frosty	严寒的
frosty	严寒
frosty	霜状的
frosty	霜状
frosty	冷淡的
frosty	冷淡
frosty	灰白的
frosty	灰白
frosty	多霜
thuya	金钟柏
celtic	凯尔特人
celtic	凯尔特的
celtic	凯尔特
outlay	费用
archbishopric	大主教之职
whirligig	陀螺
mobillette	小型机器脚踏车
mathematics	数学
onr	Office
onr	of
onr	Naval
onr	Research海军研究局
lipsalve	嘴唇用软膏
lipsalve	谀词
autogamous	自花受粉的
autogamous	自花受粉
foxhunter	猎狐者
endexine	外壁内层
aqueous	水的
aqueous	水
aqueous	水成的
aqueous	水成
remainderman	不动产继承人
remainderman	剩余土地继承人
gale	大风
gale	一阵
lmh	Lady
lmh	Margaret
lmh	Hall玛格丽特夫人会堂
bason	脸盆
bason	盆地
bason	盆
kinetochore	动粒
kinetochore	着丝粒
kinetochore	着丝点
kreep	克里普矿物
balneary	浴室
balneary	浴室的
balneary	浴室
balneary	入浴的
balneary	入浴
cuban	古巴人
cuban	古巴的
cuban	古巴
extensity	广阔性
extensity	空间性
extensity	广大性
theurgist	施法术者
theurgist	施魔术者
ebola	埃博拉病毒
fissiparism	分裂生殖
wisby	=Visby
absorbing	吸引人的
absorbing	吸引人
absorbing	非常有趣的
absorbing	非常有趣
biotoxic	生物体毒素的
biotoxic	生物体毒素
biotoxic	由生物体毒素构成的
biotoxic	由生物体毒素构成
horsefoot	鲎
washable	可洗的
washable	可洗
washable	耐洗的
washable	耐洗
distanceless	无远近的
distanceless	无远近
distanceless	不能远眺的
distanceless	不能远眺
illegibility	不清不楚
illegibility	不可辨认
illegibility	模糊
classificatory	分类上的
classificatory	分类上
classificatory	类别的
classificatory	类别
elflock	纠结的头发
elflock	卷发
ordinarily	普通
ordinarily	平常
lipocyte	脂肪细胞
lipocyte	肥粒血球
unremembered	记不起的
unremembered	记不起
unremembered	不被想起的
unremembered	不被想起
unremembered	记不住的
unremembered	记不住
unremembered	忘却的
unremembered	忘却
hepatocellular	肝细胞的
hepatocellular	肝细胞
niveous	似雪的
niveous	似雪
niveous	纯白的
niveous	纯白
track	轨迹
track	车辙
track	跟踪
track	航迹
track	足迹
track	路
track	磁轨
track	途径
track	循路而行
track	追踪
track	通过
track	用纤拉
track	追踪
track	留下足迹
track	走
overlain	overlie
overlain	的过去分词
kordofanian	科尔多凡语
baster	用脂油润肉者
baster	烤肉时淋脂油的管子
drub	打击
immediacy	直接
unflickering	不摇曳的
unflickering	不摇曳
unflickering	稳定的
unflickering	稳定
distinctive	与众不同的
distinctive	与众不同
distinctive	有特色的
distinctive	有特色
sharply	锐利地
sharply	锐利
sharply	急剧地
sharply	急剧
ringman	赌客
ringman	拳击手
conciseness	简明
conciseness	切除
flightworthy	能飞行的
flightworthy	能飞行
flightworthy	可用于飞行的
flightworthy	可用于飞行
flightworthy	具备安全飞行条件的
flightworthy	具备安全飞行条件
refrigerator	电冰箱
refrigerator	冷藏库
scrutineer	检查者
scrutineer	投票监票人
masham	马沙姆杂交羊
protophloem	原生韧皮部
unarmed	徒手的
unarmed	徒手
unarmed	非武装的
unarmed	非武装
unrestricted	无限制的
unrestricted	无限制
unrestricted	自由的
unrestricted	自由
discriminate	歧视
discriminate	区别
discriminate	区别待遇
flashing	闪光
flashing	防水板
flashing	遮雨板
gallio	冷漠而懒散的人
gallio	不负责任的人
petrochemistry	石油化学
petrochemistry	岩石化学
lanthanum	镧
unconducive	无助的
unconducive	无助
unconducive	无益的
unconducive	无益
implore	恳求
implore	哀求
autochthonic	本地的
autochthonic	本
autochthonic	土著的
autochthonic	土著
fallaciously	骗人地
fallaciously	骗人
fallaciously	令人失望地
fallaciously	令人失望
fallaciously	谬误地
fallaciously	谬误
catabolize	发生分解代谢
bretton	Woods布雷顿森林
anamnesis	记忆
anamnesis	思想
anamnesis	既往症
anamnesis	既往病历
robber	强盗
robber	盗贼
driography	平版干胶印术
driography	无水胶印
disobey	违反
disobey	不服从
spicous	有穗的
spicous	有穗
linearization	线性化
paleoecology	古生态学
festivous	节日的
festivous	节日
festivous	欢愉的
festivous	欢愉
whitlow	蹄冠炎
whitlow	甲沟炎
zap	攻击
zap	打败
zap	活力
zap	意志
zap	杀死
zap	咝!
archonship	古雅典执政官之职
exsufflation	呼出
exsufflation	吹走
fargo	法戈
biodynamic	生物动力的
biodynamic	生物动力
swalk	Sealed
swalk	With
swalk	A
swalk	Loving
swalk	Kiss
swalk	用吻来封信
homebound	回家的
homebound	回家
homebound	回家乡的
homebound	回家乡
garotte	西班牙的绞刑具
garotte	上述绞刑
swiftly	很快地
swiftly	很快
swiftly	即刻
acrolith	石首石肢木身的雕像
fug	室内的闷浊空气
fug	呆在闷室中
fug	使闷塞
animalcule	微生物
herefrom	从此
herefrom	由此
sabin	吸音量的计算单位
bloodstain	血迹
cathedral	大教堂
paleolimnology	古湖沼学
totalize	总计
totalize	加起来
dizziness	头昏眼花
aztecan	阿兹特克人的
aztecan	阿兹特克人
aztecan	阿兹特克语的
aztecan	阿兹特克语
enchain	束缚
enchain	以铁链绑住
insightful	富有洞察力的
insightful	富有洞察力
insightful	有深刻见解的
insightful	有深刻见解
midweek	一周的中间
midweek	星期三
midweek	一周中间的
midweek	一周中间
midweek	星期三的
midweek	星期三
crazy	疯狂的
crazy	疯狂
crazy	狂热的
crazy	狂热
crazy	不安全的
crazy	不安全
isinglass	鱼胶
isinglass	明胶
isinglass	云母
backed	有背的
backed	有背
backed	有财力支持的
backed	有财力支持
overindulge	溺爱
overindulge	过度放纵
entozoon	体内寄生虫
cerebra	大脑
almighty	全能的
almighty	全能
supreme	极度的
supreme	极度
supreme	极大的
supreme	极大
supreme	至高的
supreme	至高
supreme	最高的
supreme	最高
malism	现世邪恶说
aristocrat	贵族
pheasantry	雉鸡饲养场
paba	对氨基苯酸
carrot	胡萝卜
sport	运动
sport	运动会
vacant	空的
vacant	空
vacant	空白的
vacant	空白
vacant	空灵的
vacant	空灵
vacant	头脑空虚的
vacant	头脑空虚
vacant	神情茫然的
vacant	神情茫然
vacant	空闲的
vacant	空闲
vacant	空缺的
vacant	空缺
contraclockwise	反时针方向的
contraclockwise	反时针方向
contraclockwise	反时针方向地
contraclockwise	反时针方向
purgative	净化的
purgative	净化
purgative	清洗的
purgative	清洗
purgative	通便的
purgative	通便
purgative	泻剂
column	圆柱
column	柱壮物
column	专栏
column	纵队
maleate	马来酸盐
maleate	马来酸阴离子
maleate	顺丁烯二酸阴离子
simulcast	同时联播
dipnoan	肺鱼类的
dipnoan	肺鱼类
dipnoan	肺鱼类
unrevised	未修订的
unrevised	未修订
unrevised	未订正的
unrevised	未订正
unrevised	未校订的
unrevised	未校订
unrevised	未修改的
unrevised	未修改
highwood	乔木林
agnate	父系的
agnate	父系
agnate	同族的
agnate	同族
agnate	同种族的
agnate	同种族
agnate	父系
agnate	同族亲属
agnate	同种族
roughhearted	硬心肠的
roughhearted	硬心肠
roughhearted	缺乏同情心的
roughhearted	缺乏同情心
justinian	东罗马帝国皇帝
hostly	主人的
hostly	主人
hostly	符合东道主身份的
hostly	符合东道主身份
mnemic	记忆的
mnemic	记忆
mnemic	记忆力的
mnemic	记忆力
rondeau	十行诗
rondeau	回旋诗
depreciative	=depreciatory
inaccessibility	不易接近
inaccessibility	难达到
adulterine	不正当的
adulterine	不正当
adulterine	私生子
goblin	顽皮的丑小鬼
goblin	小妖精
gonad	性腺
gonad	生殖腺
hermitian	conjugate厄密共轭
memorial	纪念物
memorial	纪念馆
memorial	纪念议事
memorial	请愿书
memorial	记念的
memorial	记念
memorial	记忆的
memorial	记忆
endosulfan	硫丹
scalade	=escalade
idola	谬论
idola	谬见
interreligious	各宗教间的
interreligious	各宗教间
nlt	night
nlt	letter
campion	剪秋罗属植物
cantankerous	脾气坏的
cantankerous	脾气坏
cantankerous	爱吵架的
cantankerous	爱吵架
cantankerous	刚愎的
cantankerous	刚愎
cantankerous	任性的
cantankerous	任性
garrulity	饶舌
garrulity	多嘴
telegram	电报
heterotactic	地层变位的
heterotactic	层变位
repressor	抑压者
repressor	镇压者
asperse	诽谤
shaganappi	生皮带
shaganappi	生皮条
casino	娱乐场一种由二至四人玩的纸牌游戏
bigaroon	甜樱桃
surprize	=surprise
miyazaki	宫崎
cymbiform	船形的
cymbiform	船形
cymbiform	舟状的
cymbiform	舟状
pectines	pecten
pectines	的复数
maisonette	小房屋
maisonette	出租房间
reindeer	驯鹿
cynoglossum	琉璃草
cynoglossum	倒提壶
reach	延伸
reach	区域
reach	河段
reach	范围
reach	联接杆
reach	横风行驶
reach	到达
reach	达到
reach	伸出
reach	影响
reach	达到
reach	延伸
reach	伸出手
reach	传开
allopurinol	别嘌呤醇
fathometer	音响测深仪
luxury	奢侈
luxury	华贵
weirdy	古怪的人
weirdy	怪物
weirdy	怪事
types	类型
types	打字
haircurling	可怕的
haircurling	可怕
haircurling	骇人的
haircurling	骇人
farmost	最远的
farmost	最远
vertebral	椎骨的
vertebral	椎骨
vertebral	脊椎的
vertebral	脊椎
vertebral	由椎骨组成的
vertebral	由椎骨组成
vertebral	有脊椎的
vertebral	有脊椎
det	diethyltryptamine二乙基色胺
aisle	走廊
aisle	过道
disavow	不承认
disavow	否认
disavow	否定
disavow	抵赖
tomnoddy	笨人
aeolotropic	各向异性的
aeolotropic	各向异性
aeolotropic	有方向性的
aeolotropic	有方向性
rioja	葡萄酒
inapt	不确切的
inapt	不确切
subalate	略似翼的
subalate	略似翼
subalate	薄而呈三角形的
subalate	薄而呈三角形
fafnir	法夫纳
ulteriorly	未表明地
ulteriorly	未表明
ulteriorly	隐蔽地
ulteriorly	隐蔽
ulteriorly	进一步地
ulteriorly	进一步
flasher	使灯光忽明忽灭的装置
flasher	发出闪光之物
mammectomy	=mastectomy
sequentia'	NULL)
feedforward	前馈
amberjack	琥珀鱼
tokyo	东京
tempting	诱惑人的
tempting	诱惑人
forepleasure	前奏快感
apportionment	分配
apportionment	分派
apportionment	分摊
amphidiploid	双二倍体
metate	凹面
comdex	Computer
comdex	Distributor
comdex	Exph
comdex	计算机分销商展览
integrallty	完整地
integrallty	完整
integrallty	固有地
integrallty	固有
ford	浅滩
ford	徒涉
blintz	薄饼卷
nucleation	成核现象
nucleation	晶核形成
nocuously	有害地
nocuously	有害
nocuously	有毒地
nocuously	有毒
cagily	谨慎小心地
cagily	谨慎小心
cagily	精明地
cagily	精明
polymasty	多乳房畸形
aussie	澳洲人
aussie	澳大利亚
statewide	遍及全州的
statewide	遍及全州
statewide	全州范围的
statewide	全州范围
urawa	浦和
reshape	改造
reshape	再成形
reshape	采用新方针
conycatcher	骗子
conycatcher	欺诈者
mucksweat	浑身大汗
paltrily	不足取
ambisextrous	不分男女的
ambisextrous	不分男女
ambisextrous	包括男女的
ambisextrous	包括男女
ambisextrous	两性的
ambisextrous	两性
ambisextrous	对两性都有吸引力的
ambisextrous	对两性都有吸引力
extravagate	漂泊
extravagate	越轨
centrosome	中心体
checkwriter	支票数字打印机
gaea	盖亚
racial	人种的
racial	人种
racial	种族的
racial	种族
racial	种族间的
racial	种族间
algid	发冷的
algid	发冷
algid	寒冷的
algid	寒冷
teno	塔纳河
disfrock	撤销圣职
headborough	下级警官
hasten	催促
hasten	赶紧
hasten	促进
hasten	加速
publicist	国际法专家
publicist	政评作家
publicist	广告员
bayonet	刺刀
nidicolous	仍留在巢中的
nidicolous	仍留在巢中
nidicolous	生活在其他禽类巢中的
nidicolous	生活在其他禽类巢中
heartburn	心痛
heartburn	妒忌
frizz	=frizzle
ariba	Associate
ariba	of
ariba	the
ariba	Royal
ariba	Institute
ariba	of
ariba	British
ariba	Architects
ariba	英国皇家建筑师协会准会员
reviser	校订者
reviser	修订者
becalmed	平静的
becalmed	平静
gyrodyne	旋翼式螺旋桨飞机
cack	小儿用平底靴
succulence	鲜美多汁
succulence	青饲料
spiritualisation	精神化
spiritualisation	灵化
caracas	加拉加斯
contraseasonal	违反季节性的
contraseasonal	违反季节性
intersectant	相交的
intersectant	相交
intersectant	交叉的
intersectant	交叉
argumentatively	激辩地
argumentatively	激辩
resupine	仰卧的
resupine	仰卧
laplacian	拉普拉斯算子
laplacian	调和量算子
binaural	有两耳的
binaural	有两耳
binaural	两耳用的
binaural	两耳用
binaural	双耳声的
binaural	双耳声
piezocrystal	压电晶体
dermatoplastic	皮肤移植的
dermatoplastic	皮肤移植
dermatoplastic	植皮术的
dermatoplastic	植皮术
megalopolis	巨大都市
megalopolis	人口稠密地带
cryostat	低温保持器
esa	European
esa	Space
esa	Agency欧洲航天局
electrochemical	电气化学的
electrochemical	电气化学
reseda	木犀草之一种
reseda	浅绿色
unquarried	未采的
unquarried	未采
unquarried	未挖掘的
unquarried	未挖掘
unviolated	未被违反的
unviolated	未被违反
unviolated	未受侵犯的
unviolated	未受侵犯
unviolated	未受损害的
unviolated	未受损害
collectorate	收税员的职位及管区
circumlocution	婉转曲折的陈述
metropolis	首都
metropolis	主要都市
metropolis	都会
metropolis	大主教教区
metropolis	大城市
naphthalize	使与石脑油混合
basifugal	从底部往上发展的
basifugal	从底部往上发展
sateen	棉缎
anglophobe	反英者
astatic	不安定的
astatic	不安定
astatic	无定向的
astatic	无定向
gonoph	=ganef
epipaleolithic	旧石器时代末期中石器时代初期的
epipaleolithic	旧石器时代末期中石器时代初期
xanthophore	黄色素细胞
amongst	在……中间
amongst	在……之中
bacchanalian	酒神节的
bacchanalian	酒神节
bacchanalian	狂饮作乐的
bacchanalian	狂饮作乐
bacchanalian	发酒疯的人
opinion	意见
opinion	看法
opinion	主张
opinion	判断
opinion	评价
contraindication	禁忌征候
magnificat	圣母玛利亚颂
magnificat	颂歌
dustbin	垃圾箱
bandleader	伴舞乐队的指挥
arthur	亚瑟
close	关
close	关闭
close	结束
close	停止
close	使靠近
close	靠拢
close	会合
close	包围
close	结束
close	近的
close	近
close	紧密的
close	紧密
close	精密的
close	精密
close	齐根的
close	齐根
close	封闭的
close	封闭
close	亲密的
close	亲密
close	闷气的
close	闷气
close	接近
close	紧密地
close	紧密
estipulate	没有托叶的
estipulate	没有托叶
cachinnation	大笑
cachinnation	哄笑
cachinnation	放肆地笑
stopwatch	秒表
stopwatch	跑表
stopwatch	停表
stopwatch	马表
malefic	煞星
malefic	有害的
malefic	有害
malefic	邪恶的
malefic	邪恶
panel	面板
panel	嵌板
panel	仪表板
panel	座谈小组
panel	全体陪审员
panel	嵌镶板
asperate	粗糙的
asperate	粗糙
asperate	使粗糙
dml	Doctor
dml	of
dml	Modern
dml	Languages
dml	现代语言博士
dml	data
dml	manipulation
dml	language
dml	数据操作语言
modenese	摩德纳的
modenese	摩德纳
modenese	摩德纳人的
modenese	摩德纳人
curried	加了咖喱
curried	用咖哩粉调理的
curried	用咖哩粉调理
chromonema	染色丝
anaesthetise	使麻醉
kentuckian	肯塔基的
kentuckian	肯塔基
kentuckian	肯塔基人
multilocular	多室的
multilocular	多室
vga	Video
vga	Graphics
vga	Array
vga	视频图形适配器
repand	残波状的
repand	残波状
stuffiness	不通风
stuffiness	闷热
conflagrant	燃烧的
conflagrant	燃烧
conflagrant	炽热的
conflagrant	炽热
indefectible	不败的
indefectible	不败
indefectible	不朽的
indefectible	不朽
indefectible	无缺点的
indefectible	无缺点
iberis	屈曲花属植物
koph	希伯莱语第十九个字母
preemie	早产儿
subgenus	亚属
unmanageable	难管理的
unmanageable	难管理
unmanageable	难处理的
unmanageable	难处理
unmanageable	难操纵的
unmanageable	难操纵
unmanageable	处理不了的
unmanageable	处理不了
decoupage	剪纸装饰
harumph	哼着说
crackleware	有裂纹花饰的陶瓷器
bywork	副业
bywork	业余活计
ceder	转让人
vague	含糊的
vague	含糊
vague	不清楚的
vague	不清楚
vague	茫然的
vague	茫然
vague	暧昧的
vague	暧昧
trichotomy	三分法
trichotomy	人类三分
chimar	无袖宽大外袍
duskiness	微暗
duskiness	微黑
prebiologic	=prebiotic
yo	唷
burble	咿呀学语
burble	嘟囔
burble	窃笑
burble	空谈
burble	漩涡
suboffice	分办事处
suboffice	分所
suboffice	分行
suboffice	分公司
accadian	=Akkadian
varicap	=varactor
clupeid	鲱科之鱼
clupeid	鲱科的
clupeid	鲱科
anywhither	往任何方向地
anywhither	往任何方向
fainting	昏晕
fainting	不省人事
trapshooter	射飞靶者
trapshooter	飞靶射击者
camille	卡米尔
rejectivist	=minimalist
calzone	半圆形烤馅饼
chantey	船夫曲
chantey	水手歌
rocketeering	火箭学
yoruba	约鲁巴人
broomy	金雀花茂盛的
broomy	金雀花茂盛
broomy	似扫帚的
broomy	似扫帚
reapportionment	重新分配
reapportionment	立法机构中席次之重新分配
incommodious	a不便的
incommodious	a不便
incommodious	偏促的
incommodious	偏促
incommodious	狭窄的
incommodious	狭窄
sakya	萨克耶人
redward	朝红色
redward	向着红色
hypochromic	血蛋白过少的
hypochromic	血蛋白过少
hypochromic	着色不足的
hypochromic	着色不足
burg	有围墙城
burg	镇
burg	村
utopianism	乌托邦的理想
utopianism	空想的社会改革案
proboscidian	=proboscidean
trustfulness	相信
trustfulness	信赖
uralite	纤闪石
kidnaper	拐子
kidnaper	绑匪
hyman	海曼
tremble	战栗
tremble	颤抖
tremble	战栗
tremble	发抖
tremble	震动
tremble	摇晃
tremble	摇动
tremble	焦虑
tremble	挥动
tremble	用颤抖的声音说出
diplegia	双侧瘫痪
igfet	isolated
igfet	gate
igfet	field
igfet	effect
igfet	transistor隔离栅场效应晶体管
enlargement	放大
transliteration	字译
transliteration	音译
cabotin	二流演员
dissertate	论述
dissertate	讲演
dissertate	写论文
glowingly	白热地
glowingly	白热
glowingly	热心地
glowingly	热心
declass	使丧失社会地位
accomplishment	ns//
accomplishment	造诣
cobaltous	亚钴的
cobaltous	亚钴
cobaltous	二价钴的
cobaltous	二价钴
chordate	有脊索的
chordate	有脊索
chordate	脊索动物的
chordate	脊索动物
chordate	脊索动物
myna	家八哥
speakeasy	地下酒吧
menopausal	有绝经期症状的
menopausal	有绝经期症状
wagsome	=waggish
coverture	保护
coverture	掩护
cabbagetown	城市贫民区
cosmogenetic	宇宙发生说的
cosmogenetic	宇宙发生说
cosmogenetic	宇宙发生论的
cosmogenetic	宇宙发生论
interact	互相作用
interact	互相影响
abusiveness	咒骂
abusiveness	滥用
overthrown	overthrow的过去分词
gittern	类似吉他的古代乐器
scattergram	=scatter
scattergram	diagram
ingress	进入
ingress	入口处
ingress	准许进入
savarin	萨伐仑松饼
romulus	罗穆卢斯
melt	熔化
melt	使软化
melt	使感动
nauplii	nauplius
nauplii	的复数
potometer	散发计
bomblike	如炸弹的
bomblike	如炸弹
bomblike	出乎意料的
bomblike	出乎意料
delve	钻研
larval	幼虫的
larval	幼虫
larval	幼虫状态的
larval	幼虫状态
pseudoscience	假科学
pseudoscience	伪科学
chairlady	女主席
biomolecule	生物分子
conservation	保存
conservation	保持
conservation	守恒
balthazer	大香槟酒瓶
subcutaneously	皮下地
subcutaneously	皮下
chengteh	承德
quagmire	沼泽
quagmire	湿地
quagmire	湿
favored	受到优待的
favored	受到优待
favored	有天赋的
favored	有天赋
favored	受优惠的
favored	受优惠
favored	有利的
favored	有利
favored	受惠的
favored	受惠
favored	幸运的
favored	幸运
osmous	低价锇的
osmous	低价锇
osmous	二价锇的
osmous	二价锇
dosage	剂量
dosage	配药
dosage	用量
incorruptible	不易败的
incorruptible	不易败
incorruptible	不被买的
incorruptible	不被买
incorruptible	清廉的
incorruptible	清廉
gunnera	根乃拉草
wiglet	小束假发
hesitancy	迟疑
hesitancy	踌躇
arkansas	阿肯色州
peabrain	笨蛋
peabrain	傻瓜
juvabione	保幼酮
mnemotechny	记忆术
exordia	绪言
exordia	发端
morphinomaniac	吗啡中毒者
crusty	有硬壳的
crusty	有硬壳
crusty	顽固的
crusty	顽固
crusty	脾气暴躁的
crusty	脾气暴躁
salubrious	有益健康的
salubrious	有益健康
zoophilism	嗜兽癖
zoophilism	动物爱好
ginhouse	弹棉花厂
clench	牢牢抓住
clench	钉紧
clench	敲弯的钉头
clench	紧握
clench	牢牢地抓住
clench	确定
clench	敲弯
clench	握紧
clench	钉牢
pneumonic	肺的
pneumonic	肺
pneumonic	肺炎的
pneumonic	肺炎
seatmate	同座乘客
apolline	太阳神阿波罗的
apolline	太阳神阿波罗
apolline	有关太阳神阿波罗的
apolline	有关太阳神阿波罗
lumpy	多块状物的
lumpy	多块状物
lumpy	粗笨的
lumpy	粗笨
aaron	亚伦
treponemiasis	=treponematosis
stenographically	速记地
stenographically	速记
solemnise	=solemnize
hanjiang	汉江
prepostor	=prepositor
trifold	=triple
presume	假定
presume	假设
presume	认为
gluteal	臀肌的
gluteal	臀肌
gluteal	近臀肌的
gluteal	近臀肌
irani	=Iranian
dissipate	驱散
groundwork	地基
groundwork	基础
groundwork	根基
youthhood	青春期
youthhood	少壮期
craftsmanlike	展现手艺的
craftsmanlike	展现手艺
epistropheus	枢椎
epistropheus	第二颈椎
springiness	富于弹性
springiness	轻快
springiness	弹性
bsaa	Bachelor
bsaa	of
bsaa	Science
bsaa	in
bsaa	Applied
bsaa	Arts
bsaa	应用文科学士
memorise	=memorize
fyrd	英国民兵
esotropia	辐辏性斜视
esotropia	内斜眼
seriousness	严肃
seriousness	认真
pluvious	雨的
pluvious	雨
pluvious	多雨的
pluvious	多雨
jubbah	穆斯林男女所穿的宽敞衣物
cooperator	合作者
cooperator	合作社社员
ludo	孩童游戏的一种
balletomane	芭蕾舞迷
epimorphosis	再生
epimorphosis	表变态
epilithic	长在石头上的
epilithic	长在石头上
reflective	沉思的
reflective	沉思
dotage	老朽
dotage	老迷糊
dotage	溺爱
catskin	猫皮
forgettery	健忘
redeem	赎回
redeem	挽回
redeem	恢复
redeem	补偿
redeem	兑换
salonika	萨洛尼卡
engulf	卷入
engulf	吞没
engulf	狼吞虎咽
inheritor	继承人
inheritor	后继者
metadata	元数据
antistrophic	对唱的
antistrophic	对唱
antistrophic	对照乐节的
antistrophic	对照乐节
actable	能实行的
actable	能实行
actable	能演出的
actable	能演出
wetness	湿润
wetness	下雨
abn	airborne
aei	Associated
aei	Electrical
aei	Industries联合电气工业公司
faceted	有小面的
faceted	有小面
inanity	空虚
inanity	愚蠢
angling	钓鱼
angling	钓鱼术
polypite	个虫
polypite	虫体
tartuffery	伪君子作风
tartuffery	伪善行为
wedded	已结婚的
wedded	已结婚
wedded	结婚的
wedded	结婚
wedded	结合的
wedded	结合
conjointly	相连地
conjointly	相连
conjointly	结合地
conjointly	结合
monoalphabetic	substitution单码代替
monoalphabetic	单一字母替换法
probationer	试读生
probationer	缓刑犯
botanical	植物学的
botanical	植物学
botanical	植物性药材
fauces	咽喉
fauces	喉头
strenuously	奋发地
strenuously	奋发
strenuously	费力地
strenuously	费力
cogitation	沉思
cogitation	思考
heliologist	太阳学家
developable	可发展的
developable	可发展
developable	可开发的
developable	可开发
developable	可显影的
developable	可显影
dcc	罗马数字
dcc	700
chevalet	琴马
nyctanthous	夜开性的
nyctanthous	夜开性
fanciless	缺乏想像的
fanciless	缺乏想像
hnrna	heteronuclear
hnrna	RNA
formulizer	用公式表示
formulizer	把……作成公式
helga	海尔格
sexpot	极富性感的女性
sexpot	易激起他人性欲的女人
sexpot	性活动活跃的人
sexpot	性欲旺盛的人
fley	使受恐吓
fley	威胁
tindal	印度籍海军军士
tindal	印度籍监工
beet	甜菜
beet	甜菜根
beet	生火
beet	修理
beet	改过
fireball	火球
